Testime,NailPostition,Curr,BTV,Power,ChgQ,DchgQ,ChgE,DchgE,AuxV1,AuxV2,AuxV3,AuxV4,NTC1,NTC2,NTC3,NTC4,TJ1,TJ2,TJ3,TJ4,TJ5,TJ6,TJ7,TJ8,Force,SOC
835,-2638,420,3885,0,0,0,0,0,3885,0,0,0,-310,0,0,0,282,290,0,0,0,0,0,0,0,75
1834,-1203,107,3885,0,0,0,0,0,3885,0,0,0,-310,0,0,0,286,288,0,0,0,0,0,0,0,75
2832,224,607,3416,0,0,0,0,0,3416,0,0,0,-310,0,0,0,286,292,0,0,0,0,0,0,70,75
3834,383,25,3512,0,0,0,0,0,3512,0,0,0,-310,0,0,0,286,378,0,0,0,0,0,0,145,75
4832,383,1223,3606,0,0,0,0,0,3606,0,0,0,-310,0,0,0,288,460,0,0,0,0,0,0,33,75
5832,383,2399,3406,0,0,0,0,0,3406,0,0,0,-310,0,0,0,290,520,0,0,0,0,0,0,199,75
6833,383,870,2774,0,0,0,0,0,2774,0,0,0,-310,0,0,0,292,635,0,0,0,0,0,0,9,75
7833,383,1884,2269,0,0,0,0,0,2269,0,0,0,-310,0,0,0,309,809,0,0,0,0,0,0,59,75
8836,383,38,1349,0,0,0,0,0,1349,0,0,0,-310,0,0,0,375,994,0,0,0,0,0,0,42,75
9834,383,1374,2798,0,0,0,0,0,2798,0,0,0,-310,0,0,0,503,2548,0,0,0,0,0,0,13,75
10834,383,1516,2338,0,0,0,0,0,2338,0,0,0,-310,0,0,0,828,3454,0,0,0,0,0,0,15,75
11836,383,54,1710,0,0,0,0,0,1710,0,0,0,-310,0,0,0,1224,3585,0,0,0,0,0,0,0,75
12832,383,610,892,0,0,0,0,0,892,0,0,0,-310,0,0,0,2129,3756,0,0,0,0,0,0,0,75
13833,383,46,352,0,0,0,0,0,352,0,0,0,-310,0,0,0,3007,3788,0,0,0,0,0,0,2,75
14835,383,135,167,0,0,0,0,0,167,0,0,0,-310,0,0,0,3145,3801,0,0,0,0,0,0,42,75
15835,383,774,25,0,0,0,0,0,25,0,0,0,-310,0,0,0,2114,3120,0,0,0,0,0,0,46,75
16835,383,1297,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,1394,1732,0,0,0,0,0,0,15,75
17833,383,2393,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,1041,1238,0,0,0,0,0,0,15,75
18835,383,1772,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,809,967,0,0,0,0,0,0,15,75
19834,383,54,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,667,775,0,0,0,0,0,0,9,75
20835,383,1636,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,560,639,0,0,0,0,0,0,1,75
21834,383,2069,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,488,552,0,0,0,0,0,0,1,75
22834,383,2209,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,426,484,0,0,0,0,0,0,0,75
23835,383,639,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,388,426,0,0,0,0,0,0,0,75
24834,383,1211,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,367,384,0,0,0,0,0,0,4,75
25834,383,156,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,353,361,0,0,0,0,0,0,1,75
26834,383,375,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,332,342,0,0,0,0,0,0,4,75
27834,383,348,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,321,334,0,0,0,0,0,0,4,75
28834,383,2244,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,305,323,0,0,0,0,0,0,4,75
29835,383,59,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,292,303,0,0,0,0,0,0,0,75
30834,383,22,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,286,294,0,0,0,0,0,0,6,75
31832,383,1442,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,286,282,0,0,0,0,0,0,2,75
32834,383,23,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,276,275,0,0,0,0,0,0,0,75
33832,383,1570,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,280,276,0,0,0,0,0,0,0,75
34835,383,1787,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,276,275,0,0,0,0,0,0,7,75
35833,383,67,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,276,273,0,0,0,0,0,0,47,75
36834,383,111,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,273,275,0,0,0,0,0,0,19,75
37832,383,77,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,276,273,0,0,0,0,0,0,13,75
38835,383,115,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,273,271,0,0,0,0,0,0,20,75
39833,383,23,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,271,273,0,0,0,0,0,0,19,75
40835,383,2241,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,273,271,0,0,0,0,0,0,2,75
41833,383,365,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,273,273,0,0,0,0,0,0,2,75
42832,383,234,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,275,273,0,0,0,0,0,0,2,75
43834,383,1376,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,275,273,0,0,0,0,0,0,4,75
44833,383,1723,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,271,273,0,0,0,0,0,0,5,75
