Testime,NailPostition,Curr,BTV,Power,ChgQ,DchgQ,ChgE,DchgE,AuxV1,AuxV2,AuxV3,AuxV4,NTC1,NTC2,NTC3,NTC4,TJ1,TJ2,TJ3,TJ4,TJ5,TJ6,TJ7,TJ8,Force,SOC
804,+AC0-1744,1705,3679,0,0,0,0,0,3679,0,0,0,+AC0-310,0,0,0,271,271,0,0,0,0,0,0,0,50
1807,+AC0-746,963,3679,0,0,0,0,0,3679,0,0,0,+AC0-310,0,0,0,275,271,0,0,0,0,0,0,0,50
2806,216,1366,3398,0,0,0,0,0,3398,0,0,0,+AC0-310,0,0,0,273,273,0,0,0,0,0,0,331,50
3805,216,139,3154,0,0,0,0,0,3154,0,0,0,+AC0-310,0,0,0,301,273,0,0,0,0,0,0,71,50
4807,216,481,3356,0,0,0,0,0,3356,0,0,0,+AC0-310,0,0,0,400,275,0,0,0,0,0,0,38,50
5804,216,33,3463,0,0,0,0,0,3463,0,0,0,+AC0-310,0,0,0,516,275,0,0,0,0,0,0,46,50
6806,216,22,3532,0,0,0,0,0,3532,0,0,0,+AC0-310,0,0,0,620,275,0,0,0,0,0,0,54,50
7805,216,411,3571,0,0,0,0,0,3571,0,0,0,+AC0-310,0,0,0,690,276,0,0,0,0,0,0,60,50
8807,216,493,3580,0,0,0,0,0,3580,0,0,0,+AC0-310,0,0,0,722,276,0,0,0,0,0,0,65,50
9805,216,495,3609,0,0,0,0,0,3609,0,0,0,+AC0-310,0,0,0,747,278,0,0,0,0,0,0,61,50
10805,216,840,3615,0,0,0,0,0,3615,0,0,0,+AC0-310,0,0,0,764,280,0,0,0,0,0,0,49,50
11804,216,48,3616,0,0,0,0,0,3616,0,0,0,+AC0-310,0,0,0,769,276,0,0,0,0,0,0,50,50
12807,216,41,3616,0,0,0,0,0,3616,0,0,0,+AC0-310,0,0,0,767,282,0,0,0,0,0,0,60,50
13805,216,84,3616,0,0,0,0,0,3616,0,0,0,+AC0-310,0,0,0,754,282,0,0,0,0,0,0,67,50
14804,216,42,3616,0,0,0,0,0,3616,0,0,0,+AC0-310,0,0,0,747,286,0,0,0,0,0,0,73,50
15805,216,249,3616,0,0,0,0,0,3616,0,0,0,+AC0-310,0,0,0,728,286,0,0,0,0,0,0,77,50
16804,216,1451,3616,0,0,0,0,0,3616,0,0,0,+AC0-310,0,0,0,713,294,0,0,0,0,0,0,82,50
17807,216,2240,3616,0,0,0,0,0,3616,0,0,0,+AC0-310,0,0,0,701,290,0,0,0,0,0,0,85,50
18804,216,1006,3617,0,0,0,0,0,3617,0,0,0,+AC0-310,0,0,0,686,296,0,0,0,0,0,0,88,50
19804,216,49,3617,0,0,0,0,0,3617,0,0,0,+AC0-310,0,0,0,671,296,0,0,0,0,0,0,90,50
20807,216,2009,3617,0,0,0,0,0,3617,0,0,0,+AC0-310,0,0,0,660,296,0,0,0,0,0,0,92,50
21806,216,258,3618,0,0,0,0,0,3618,0,0,0,+AC0-310,0,0,0,649,296,0,0,0,0,0,0,95,50
22806,216,2187,3618,0,0,0,0,0,3618,0,0,0,+AC0-310,0,0,0,637,298,0,0,0,0,0,0,97,50
23806,216,390,3618,0,0,0,0,0,3618,0,0,0,+AC0-310,0,0,0,633,301,0,0,0,0,0,0,99,50
24807,216,22,3618,0,0,0,0,0,3618,0,0,0,+AC0-310,0,0,0,624,303,0,0,0,0,0,0,101,50
25804,216,2320,3619,0,0,0,0,0,3619,0,0,0,+AC0-310,0,0,0,620,300,0,0,0,0,0,0,103,50
26806,216,24,3619,0,0,0,0,0,3619,0,0,0,+AC0-310,0,0,0,609,307,0,0,0,0,0,0,105,50
27807,216,1630,3619,0,0,0,0,0,3619,0,0,0,+AC0-310,0,0,0,605,301,0,0,0,0,0,0,107,50
28804,216,38,3619,0,0,0,0,0,3619,0,0,0,+AC0-310,0,0,0,598,305,0,0,0,0,0,0,108,50
29805,216,2285,3619,0,0,0,0,0,3619,0,0,0,+AC0-310,0,0,0,592,307,0,0,0,0,0,0,110,50
30805,216,133,3619,0,0,0,0,0,3619,0,0,0,+AC0-310,0,0,0,590,307,0,0,0,0,0,0,111,50
31805,216,57,3620,0,0,0,0,0,3620,0,0,0,+AC0-310,0,0,0,586,309,0,0,0,0,0,0,113,50
32805,216,238,3620,0,0,0,0,0,3620,0,0,0,+AC0-310,0,0,0,581,305,0,0,0,0,0,0,114,50
33805,216,125,3620,0,0,0,0,0,3620,0,0,0,+AC0-310,0,0,0,579,307,0,0,0,0,0,0,116,50
