Testime,NailPostition,Curr,BTV,Power,ChgQ,DchgQ,ChgE,DchgE,AuxV1,AuxV2,AuxV3,AuxV4,NTC1,NTC2,NTC3,NTC4,TJ1,TJ2,TJ3,TJ4,TJ5,TJ6,TJ7,TJ8,Force,SOC
677,-1889,211,3887,0,0,0,0,0,3887,0,0,0,-310,0,0,0,273,276,0,0,0,0,0,0,1,75
1676,-868,330,3886,0,0,0,0,0,3886,0,0,0,-310,0,0,0,276,278,0,0,0,0,0,0,1,75
2677,124,2374,3771,0,0,0,0,0,3771,0,0,0,-310,0,0,0,278,278,0,0,0,0,0,0,6,75
3676,166,1623,3479,0,0,0,0,0,3479,0,0,0,-310,0,0,0,282,278,0,0,0,0,0,0,72,75
4676,166,2063,3517,0,0,0,0,0,3517,0,0,0,-310,0,0,0,357,282,0,0,0,0,0,0,41,75
5678,166,1429,3333,0,0,0,0,0,3333,0,0,0,-310,0,0,0,545,280,0,0,0,0,0,0,66,75
6680,166,2298,3293,0,0,0,0,0,3293,0,0,0,-310,0,0,0,694,280,0,0,0,0,0,0,4,75
7679,166,1531,3371,0,0,0,0,0,3371,0,0,0,-310,0,0,0,971,278,0,0,0,0,0,0,1,75
8678,166,1392,3329,0,0,0,0,0,3329,0,0,0,-310,0,0,0,1262,286,0,0,0,0,0,0,2,75
9679,166,34,3268,0,0,0,0,0,3268,0,0,0,-310,0,0,0,1528,290,0,0,0,0,0,0,0,75
10678,166,1637,3192,0,0,0,0,0,3192,0,0,0,-310,0,0,0,1825,300,0,0,0,0,0,0,1,75
11678,166,174,3036,0,0,0,0,0,3036,0,0,0,-310,0,0,0,2024,307,0,0,0,0,0,0,2,75
12679,166,80,2808,0,0,0,0,0,2808,0,0,0,-310,0,0,0,1530,313,0,0,0,0,0,0,41,75
13676,166,195,2546,0,0,0,0,0,2546,0,0,0,-310,0,0,0,2787,321,0,0,0,0,0,0,13,75
14677,166,2328,2444,0,0,0,0,0,2444,0,0,0,-310,0,0,0,3001,384,0,0,0,0,0,0,87,75
15680,166,1999,1537,0,0,0,0,0,1537,0,0,0,-310,0,0,0,3078,713,0,0,0,0,0,0,17,75
16676,166,2345,1011,0,0,0,0,0,1011,0,0,0,-310,0,0,0,3542,1213,0,0,0,0,0,0,7,75
17677,166,58,1824,0,0,0,0,0,1824,0,0,0,-310,0,0,0,3905,2656,0,0,0,0,0,0,12,75
18679,166,35,1008,0,0,0,0,0,1008,0,0,0,-310,0,0,0,4170,3443,0,0,0,0,0,0,15,75
19677,166,52,680,0,0,0,0,0,680,0,0,0,-310,0,0,0,4382,3437,0,0,0,0,0,0,19,75
20678,166,1896,594,0,0,0,0,0,594,0,0,0,-310,0,0,0,4354,3507,0,0,0,0,0,0,13,75
21679,166,1814,360,0,0,0,0,0,360,0,0,0,-310,0,0,0,4504,3538,0,0,0,0,0,0,0,75
22678,166,47,193,0,0,0,0,0,193,0,0,0,-310,0,0,0,4737,3790,0,0,0,0,0,0,0,75
23676,166,1930,102,0,0,0,0,0,102,0,0,0,-310,0,0,0,4666,4151,0,0,0,0,0,0,4,75
24677,166,231,49,0,0,0,0,0,49,0,0,0,-310,0,0,0,4489,4255,0,0,0,0,0,0,0,75
25676,166,1446,6,0,0,0,0,0,6,0,0,0,-310,0,0,0,4336,4014,0,0,0,0,0,0,4,75
26678,166,410,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,4275,4124,0,0,0,0,0,0,4,75
27678,166,67,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,4247,4218,0,0,0,0,0,0,4,75
28678,166,608,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,4378,4288,0,0,0,0,0,0,4,75
29679,166,1389,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,4360,4188,0,0,0,0,0,0,2,75
30678,166,284,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,4424,4183,0,0,0,0,0,0,2,75
31679,166,79,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,4463,4183,0,0,0,0,0,0,0,75
32676,166,1009,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,4435,4194,0,0,0,0,0,0,0,75
33679,166,1922,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,4517,4196,0,0,0,0,0,0,1,75
34679,166,29,2,0,0,0,0,0,2,0,0,0,-310,0,0,0,4463,4203,0,0,0,0,0,0,0,75
