Testime,NailPostition,Curr,BTV,Power,ChgQ,DchgQ,ChgE,DchgE,AuxV1,AuxV2,AuxV3,AuxV4,NTC1,NTC2,NTC3,NTC4,TJ1,TJ2,TJ3,TJ4,TJ5,TJ6,TJ7,TJ8,Force,SOC
908,-100,22,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,278,0,0,0,0,0,0,0,75
1908,-99,435,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,278,0,0,0,0,0,0,0,75
2908,-98,1575,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,278,276,0,0,0,0,0,0,0,75
3908,-97,54,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,278,278,0,0,0,0,0,0,0,75
4908,-96,1457,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,278,276,0,0,0,0,0,0,0,75
5908,-95,38,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,275,0,0,0,0,0,0,0,75
6908,-94,28,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,278,282,0,0,0,0,0,0,0,75
7908,-93,21,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,278,276,0,0,0,0,0,0,0,75
8908,-92,2477,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,280,0,0,0,0,0,0,0,75
9908,-91,128,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,280,0,0,0,0,0,0,0,75
10908,-90,2301,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,278,0,0,0,0,0,0,0,75
11905,-89,299,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,280,0,0,0,0,0,0,0,75
12908,-88,24,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,280,0,0,0,0,0,0,0,75
13908,-87,277,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,280,0,0,0,0,0,0,0,75
14908,-86,92,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,280,0,0,0,0,0,0,0,75
15908,-85,1810,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,276,0,0,0,0,0,0,0,75
16908,-84,1415,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,280,0,0,0,0,0,0,0,75
17908,-83,2247,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,276,0,0,0,0,0,0,0,75
18908,-82,2372,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,280,0,0,0,0,0,0,0,75
19908,-81,1772,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,280,0,0,0,0,0,0,0,75
20908,-80,682,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,278,284,0,0,0,0,0,0,0,75
21908,-79,1599,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,278,0,0,0,0,0,0,0,75
22908,-78,2246,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,278,0,0,0,0,0,0,0,75
23908,-77,162,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,278,0,0,0,0,0,0,0,75
24908,-76,87,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,278,0,0,0,0,0,0,0,75
25908,-75,849,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,282,0,0,0,0,0,0,0,75
26908,-74,1972,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,280,0,0,0,0,0,0,0,75
27908,-73,1684,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,278,280,0,0,0,0,0,0,0,75
28930,-72,241,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,278,280,0,0,0,0,0,0,0,75
29930,-71,345,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,278,278,0,0,0,0,0,0,0,75
30915,-70,2228,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,282,0,0,0,0,0,0,0,75
31908,-69,2390,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,278,280,0,0,0,0,0,0,0,75
32908,-68,1880,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,280,0,0,0,0,0,0,0,75
33908,-67,26,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,280,0,0,0,0,0,0,0,75
34908,-66,2133,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,282,0,0,0,0,0,0,0,75
35908,-65,49,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,278,0,0,0,0,0,0,0,75
36908,-64,80,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,278,0,0,0,0,0,0,0,75
37908,-63,441,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,282,0,0,0,0,0,0,0,75
38908,-62,1376,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,284,278,0,0,0,0,0,0,0,75
39908,-61,478,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,280,0,0,0,0,0,0,0,75
40930,-60,2148,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,286,282,0,0,0,0,0,0,0,75
41905,-59,25,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,278,0,0,0,0,0,0,0,75
42908,-58,193,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,276,0,0,0,0,0,0,0,75
43908,-57,652,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,280,0,0,0,0,0,0,0,75
44908,-56,64,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,278,0,0,0,0,0,0,0,75
45908,-55,58,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,278,280,0,0,0,0,0,0,0,75
46908,-54,29,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,286,282,0,0,0,0,0,0,0,75
47908,-53,2040,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,280,0,0,0,0,0,0,0,75
48908,-52,276,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,282,0,0,0,0,0,0,0,75
49930,-51,30,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,278,282,0,0,0,0,0,0,0,75
50908,-50,103,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,280,0,0,0,0,0,0,0,75
51908,-49,277,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,286,280,0,0,0,0,0,0,0,75
52908,-49,2198,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,280,0,0,0,0,0,0,0,75
53908,-48,73,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,282,0,0,0,0,0,0,0,75
54908,-47,838,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,280,0,0,0,0,0,0,0,75
55908,-46,983,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,282,0,0,0,0,0,0,0,75
56908,-45,2380,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,284,280,0,0,0,0,0,0,0,75
57908,-44,62,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,276,280,0,0,0,0,0,0,0,75
58908,-43,386,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,280,0,0,0,0,0,0,0,75
59908,-42,52,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,278,282,0,0,0,0,0,0,0,75
60908,-41,2320,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,278,0,0,0,0,0,0,0,75
61908,-40,507,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,282,0,0,0,0,0,0,0,75
62908,-39,93,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,282,0,0,0,0,0,0,0,75
63908,-38,781,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,282,0,0,0,0,0,0,0,75
64908,-37,1536,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,280,0,0,0,0,0,0,0,75
65908,-36,40,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,284,0,0,0,0,0,0,0,75
66931,-35,2526,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,278,280,0,0,0,0,0,0,0,75
67908,-34,38,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,280,0,0,0,0,0,0,0,75
68908,-33,1941,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,280,0,0,0,0,0,0,0,75
69908,-32,1552,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,284,278,0,0,0,0,0,0,0,75
70930,-31,1142,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,284,282,0,0,0,0,0,0,0,75
71908,-30,21,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,280,0,0,0,0,0,0,0,75
72908,-29,45,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,284,284,0,0,0,0,0,0,0,75
73930,-28,1710,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,282,0,0,0,0,0,0,100,75
74908,-27,24,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,278,0,0,0,0,0,0,0,75
75908,-26,287,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,286,280,0,0,0,0,0,0,0,75
76908,-25,112,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,276,0,0,0,0,0,0,0,75
77908,-24,1159,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,280,0,0,0,0,0,0,0,75
78908,-23,39,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,282,0,0,0,0,0,0,0,75
79908,-22,48,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,280,0,0,0,0,0,0,0,75
80908,-21,1610,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,278,0,0,0,0,0,0,0,75
81908,-20,1412,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,284,280,0,0,0,0,0,0,0,75
82908,-19,1596,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,280,0,0,0,0,0,0,0,75
83908,-18,58,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,284,282,0,0,0,0,0,0,0,75
84908,-17,2481,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,282,0,0,0,0,0,0,0,75
85908,-16,2390,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,280,0,0,0,0,0,0,0,75
86908,-15,2037,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,280,0,0,0,0,0,0,0,75
87908,-14,523,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,284,282,0,0,0,0,0,0,0,75
88931,-13,2025,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,282,0,0,0,0,0,0,0,75
89908,-12,141,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,284,0,0,0,0,0,0,0,75
90908,-11,648,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,280,0,0,0,0,0,0,0,75
91908,-10,1966,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,282,0,0,0,0,0,0,0,75
92908,-9,22,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,284,282,0,0,0,0,0,0,0,75
93908,-8,159,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,286,284,0,0,0,0,0,0,0,75
94908,-7,52,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,284,0,0,0,0,0,0,0,75
95908,-6,247,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,280,0,0,0,0,0,0,2,75
96908,-5,1907,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,284,0,0,0,0,0,0,5,75
97908,-4,49,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,284,282,0,0,0,0,0,0,9,75
98908,-3,1565,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,284,282,0,0,0,0,0,0,13,75
99908,-2,1386,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,282,0,0,0,0,0,0,17,75
100930,-1,1180,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,284,282,0,0,0,0,0,0,22,75
101908,0,671,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,284,284,0,0,0,0,0,0,25,75
102905,1,149,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,275,284,0,0,0,0,0,0,29,75
103905,2,262,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,282,0,0,0,0,0,0,31,75
104908,3,250,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,280,0,0,0,0,0,0,33,75
105908,4,395,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,284,0,0,0,0,0,0,34,75
106908,5,2155,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,280,0,0,0,0,0,0,36,75
107908,6,489,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,288,0,0,0,0,0,0,38,75
108908,7,716,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,284,280,0,0,0,0,0,0,40,75
109908,8,1574,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,282,0,0,0,0,0,0,41,75
110908,9,33,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,278,280,0,0,0,0,0,0,42,75
111908,10,1631,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,284,0,0,0,0,0,0,44,75
112908,11,2279,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,282,0,0,0,0,0,0,46,75
113908,12,80,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,284,0,0,0,0,0,0,48,75
114908,13,2533,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,280,0,0,0,0,0,0,49,75
115908,14,424,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,278,282,0,0,0,0,0,0,51,75
116908,15,52,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,280,0,0,0,0,0,0,53,75
117908,16,441,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,278,280,0,0,0,0,0,0,55,75
118908,17,1501,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,284,284,0,0,0,0,0,0,57,75
119930,18,360,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,282,0,0,0,0,0,0,59,75
120908,19,2445,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,282,0,0,0,0,0,0,60,75
121908,20,88,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,282,0,0,0,0,0,0,62,75
122908,21,2335,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,282,0,0,0,0,0,0,64,75
123908,22,2142,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,284,0,0,0,0,0,0,67,75
124908,23,66,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,282,0,0,0,0,0,0,68,75
125905,24,1311,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,282,0,0,0,0,0,0,71,75
126908,25,2371,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,282,0,0,0,0,0,0,74,75
127908,26,1227,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,284,0,0,0,0,0,0,77,75
128908,27,2082,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,276,284,0,0,0,0,0,0,79,75
129908,28,28,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,282,0,0,0,0,0,0,82,75
130908,29,1229,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,278,282,0,0,0,0,0,0,84,75
131908,30,476,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,280,0,0,0,0,0,0,87,75
132908,31,35,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,280,0,0,0,0,0,0,90,75
133908,32,56,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,276,0,0,0,0,0,0,93,75
134908,33,1095,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,282,0,0,0,0,0,0,96,75
135905,34,1645,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,282,0,0,0,0,0,0,99,75
136908,35,413,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,282,0,0,0,0,0,0,102,75
137908,36,1639,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,284,0,0,0,0,0,0,105,75
138908,37,993,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,284,286,0,0,0,0,0,0,107,75
139908,38,120,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,284,282,0,0,0,0,0,0,110,75
140908,39,24,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,280,280,0,0,0,0,0,0,114,75
141908,40,23,4031,0,0,0,0,0,4031,0,0,0,0,0,0,0,282,280,0,0,0,0,0,0,117,75
