
Step 0, Minibatch Loss= 1198.629761, Training Accuracy= 0.086555

Step 20, Minibatch Loss= 87.526840, Training Accuracy= 0.572269

Step 40, Minibatch Loss= 21.821011, Training Accuracy= 0.712605

Step 60, Minibatch Loss= 6.767591, Training Accuracy= 0.894958

Step 80, Minibatch Loss= 3.571925, Training Accuracy= 0.981933

Step 100, Minibatch Loss= 2.567581, Training Accuracy= 0.982353

Step 120, Minibatch Loss= 2.033606, Training Accuracy= 0.982353

Step 140, Minibatch Loss= 1.965370, Training Accuracy= 0.982353

Step 160, Minibatch Loss= 1.853219, Training Accuracy= 0.982353

Step 180, Minibatch Loss= 1.455243, Training Accuracy= 0.982353

Step 200, Minibatch Loss= 1.312613, Training Accuracy= 0.982353

Step 220, Minibatch Loss= 1.098265, Training Accuracy= 0.982353

Step 240, Minibatch Loss= 1.211662, Training Accuracy= 0.982353

Step 260, Minibatch Loss= 1.405940, Training Accuracy= 0.982353

Step 280, Minibatch Loss= 1.244424, Training Accuracy= 0.982353

Step 300, Minibatch Loss= 1.254662, Training Accuracy= 0.982353

Step 320, Minibatch Loss= 1.605776, Training Accuracy= 0.982353

Step 340, Minibatch Loss= 1.597459, Training Accuracy= 0.982353

Step 360, Minibatch Loss= 1.775995, Training Accuracy= 0.982353

Step 380, Minibatch Loss= 0.943898, Training Accuracy= 0.982353

Step 400, Minibatch Loss= 1.497321, Training Accuracy= 0.982353

Step 420, Minibatch Loss= 1.540242, Training Accuracy= 0.982353

Step 440, Minibatch Loss= 1.296975, Training Accuracy= 0.982353

Step 460, Minibatch Loss= 1.106039, Training Accuracy= 0.982353

Step 480, Minibatch Loss= 1.211785, Training Accuracy= 0.982353

Step 500, Minibatch Loss= 1.026402, Training Accuracy= 0.982353

Step 520, Minibatch Loss= 1.270685, Training Accuracy= 0.982353

Step 540, Minibatch Loss= 1.576923, Training Accuracy= 0.982353

Step 560, Minibatch Loss= 1.453309, Training Accuracy= 0.982353

Step 580, Minibatch Loss= 1.076824, Training Accuracy= 0.982353

Step 600, Minibatch Loss= 1.393566, Training Accuracy= 0.982353

Step 620, Minibatch Loss= 1.504513, Training Accuracy= 0.982353

Step 640, Minibatch Loss= 1.609860, Training Accuracy= 0.982353

Step 660, Minibatch Loss= 1.130345, Training Accuracy= 0.982353

Step 680, Minibatch Loss= 1.487116, Training Accuracy= 0.982353

Step 700, Minibatch Loss= 1.371502, Training Accuracy= 0.982353

Step 720, Minibatch Loss= 0.881108, Training Accuracy= 0.982353

Step 740, Minibatch Loss= 1.052768, Training Accuracy= 0.982353

Step 760, Minibatch Loss= 1.290939, Training Accuracy= 0.982353

Step 780, Minibatch Loss= 1.235664, Training Accuracy= 0.982353

Step 800, Minibatch Loss= 1.514396, Training Accuracy= 0.982353

Step 820, Minibatch Loss= 1.282818, Training Accuracy= 0.982353

Step 840, Minibatch Loss= 1.462547, Training Accuracy= 0.982353

Step 860, Minibatch Loss= 1.505050, Training Accuracy= 0.982353

Step 880, Minibatch Loss= 1.221292, Training Accuracy= 0.982353

Step 900, Minibatch Loss= 1.363985, Training Accuracy= 0.982353

Step 920, Minibatch Loss= 1.133415, Training Accuracy= 0.982353

Step 940, Minibatch Loss= 1.478050, Training Accuracy= 0.982353

Step 960, Minibatch Loss= 1.087036, Training Accuracy= 0.982353

Step 980, Minibatch Loss= 1.299796, Training Accuracy= 0.982353

Step 1000, Minibatch Loss= 1.350638, Training Accuracy= 0.982353

Step 1020, Minibatch Loss= 1.509101, Training Accuracy= 0.982353

Step 1040, Minibatch Loss= 1.200330, Training Accuracy= 0.982353

Step 1060, Minibatch Loss= 1.500085, Training Accuracy= 0.982353

Step 1080, Minibatch Loss= 1.411409, Training Accuracy= 0.982353

Step 1100, Minibatch Loss= 1.459349, Training Accuracy= 0.982353

Step 1120, Minibatch Loss= 1.324590, Training Accuracy= 0.982353

Step 1140, Minibatch Loss= 1.109974, Training Accuracy= 0.982353

Step 1160, Minibatch Loss= 1.288258, Training Accuracy= 0.982353

Step 1180, Minibatch Loss= 1.181645, Training Accuracy= 0.982353

Step 1200, Minibatch Loss= 1.349352, Training Accuracy= 0.982353

Step 1220, Minibatch Loss= 1.434635, Training Accuracy= 0.982353

Step 1240, Minibatch Loss= 1.021507, Training Accuracy= 0.982353

Step 1260, Minibatch Loss= 1.194121, Training Accuracy= 0.982353

Step 1280, Minibatch Loss= 1.225896, Training Accuracy= 0.982353

Step 1300, Minibatch Loss= 0.967598, Training Accuracy= 0.982353

Step 1320, Minibatch Loss= 1.070273, Training Accuracy= 0.982353

Step 1340, Minibatch Loss= 1.156558, Training Accuracy= 0.982353

Step 1360, Minibatch Loss= 1.061345, Training Accuracy= 0.982353

Step 1380, Minibatch Loss= 1.157055, Training Accuracy= 0.982353

Step 1400, Minibatch Loss= 1.294722, Training Accuracy= 0.982353

Step 1420, Minibatch Loss= 1.318638, Training Accuracy= 0.982353

Step 1440, Minibatch Loss= 1.188251, Training Accuracy= 0.982353

Step 1460, Minibatch Loss= 1.205877, Training Accuracy= 0.982353

Step 1480, Minibatch Loss= 1.190614, Training Accuracy= 0.982353

Step 1500, Minibatch Loss= 1.054387, Training Accuracy= 0.982353

Step 1520, Minibatch Loss= 1.122178, Training Accuracy= 0.982353

Step 1540, Minibatch Loss= 1.249005, Training Accuracy= 0.982353

Step 1560, Minibatch Loss= 0.981328, Training Accuracy= 0.982353

Step 1580, Minibatch Loss= 1.187343, Training Accuracy= 0.982353

Step 1600, Minibatch Loss= 1.186298, Training Accuracy= 0.982353

Step 1620, Minibatch Loss= 1.280386, Training Accuracy= 0.982353

Step 1640, Minibatch Loss= 1.392069, Training Accuracy= 0.982353

Step 1660, Minibatch Loss= 1.377247, Training Accuracy= 0.982353

Step 1680, Minibatch Loss= 1.150930, Training Accuracy= 0.982353

Step 1700, Minibatch Loss= 1.107355, Training Accuracy= 0.982353

Step 1720, Minibatch Loss= 1.280529, Training Accuracy= 0.982353

Step 1740, Minibatch Loss= 1.053343, Training Accuracy= 0.982353

Step 1760, Minibatch Loss= 0.822241, Training Accuracy= 0.982353

Step 1780, Minibatch Loss= 1.253473, Training Accuracy= 0.982353

Step 1800, Minibatch Loss= 1.021530, Training Accuracy= 0.982353

Step 1820, Minibatch Loss= 1.209122, Training Accuracy= 0.982353

Step 1840, Minibatch Loss= 1.144343, Training Accuracy= 0.982353

Step 1860, Minibatch Loss= 1.145425, Training Accuracy= 0.982353

Step 1880, Minibatch Loss= 1.053069, Training Accuracy= 0.982353

Step 1900, Minibatch Loss= 1.159810, Training Accuracy= 0.982353

Step 1920, Minibatch Loss= 0.856626, Training Accuracy= 0.982353

Step 1940, Minibatch Loss= 1.038472, Training Accuracy= 0.982353

Step 1960, Minibatch Loss= 1.093906, Training Accuracy= 0.982353

Step 1980, Minibatch Loss= 1.305598, Training Accuracy= 0.982353

Step 2000, Minibatch Loss= 1.311196, Training Accuracy= 0.982353

Step 2020, Minibatch Loss= 1.195870, Training Accuracy= 0.982353

Step 2040, Minibatch Loss= 1.306283, Training Accuracy= 0.982353

Step 2060, Minibatch Loss= 1.090437, Training Accuracy= 0.982353

Step 2080, Minibatch Loss= 1.135331, Training Accuracy= 0.982353

Step 2100, Minibatch Loss= 1.070114, Training Accuracy= 0.981933

Step 2120, Minibatch Loss= 1.224280, Training Accuracy= 0.981513

Step 2140, Minibatch Loss= 1.197649, Training Accuracy= 0.982353

Step 2160, Minibatch Loss= 1.123883, Training Accuracy= 0.982353

Step 2180, Minibatch Loss= 1.280808, Training Accuracy= 0.981933

Step 2200, Minibatch Loss= 1.175213, Training Accuracy= 0.982353

Step 2220, Minibatch Loss= 1.092645, Training Accuracy= 0.982353

Step 2240, Minibatch Loss= 0.838028, Training Accuracy= 0.982353

