
Step 8900, Minibatch Loss= 0.713992, Training Accuracy= 0.982353

Step 9000, Minibatch Loss= 0.842121, Training Accuracy= 0.981933

Step 9100, Minibatch Loss= 0.827283, Training Accuracy= 0.981933

Step 9200, Minibatch Loss= 0.830131, Training Accuracy= 0.981933

Step 9300, Minibatch Loss= 0.807132, Training Accuracy= 0.981513

Step 9400, Minibatch Loss= 0.753907, Training Accuracy= 0.981933

Step 9500, Minibatch Loss= 0.756159, Training Accuracy= 0.981933

Step 9600, Minibatch Loss= 0.787602, Training Accuracy= 0.982353

Step 9700, Minibatch Loss= 0.730421, Training Accuracy= 0.982773

Step 9800, Minibatch Loss= 0.899678, Training Accuracy= 0.981933

Step 9900, Minibatch Loss= 0.805210, Training Accuracy= 0.981513

Step 10000, Minibatch Loss= 0.779588, Training Accuracy= 0.982353
