"Testime","NailPostition","Curr","BTV","Power","ChgQ","DchgQ","ChgE","DchgE","AuxV1","AuxV2","AuxV3","AuxV4","NTC1","NTC2","NTC3","NTC4","TJ1","TJ2","TJ3","TJ4","TJ5","TJ6","TJ7","TJ8","Force"
"620","-994","1042","3839","0","0","0","0","0","3839","0","0","0","-310","0","0","0","288","286","0","0","0","0","0","0","1"
"1620","-895","97","3839","0","0","0","0","0","3839","0","0","0","-310","0","0","0","284","288","0","0","0","0","0","0","0"
"2620","-795","79","3839","0","0","0","0","0","3839","0","0","0","-310","0","0","0","284","290","0","0","0","0","0","0","1"
"3620","-696","1047","3839","0","0","0","0","0","3839","0","0","0","-310","0","0","0","288","286","0","0","0","0","0","0","1"
"4620","-597","87","3839","0","0","0","0","0","3839","0","0","0","-310","0","0","0","282","288","0","0","0","0","0","0","1"
"5620","-495","352","3839","0","0","0","0","0","3839","0","0","0","-310","0","0","0","290","288","0","0","0","0","0","0","1"
"6620","-396","2005","3839","0","0","0","0","0","3839","0","0","0","-310","0","0","0","282","288","0","0","0","0","0","0","1"
"7621","-297","162","3839","0","0","0","0","0","3839","0","0","0","-310","0","0","0","284","288","0","0","0","0","0","0","0"
"8620","-198","649","3839","0","0","0","0","0","3839","0","0","0","-310","0","0","0","284","286","0","0","0","0","0","0","0"
"9621","-99","1494","3839","0","0","0","0","0","3839","0","0","0","-310","0","0","0","286","288","0","0","0","0","0","0","1"
"10621","0","2339","3839","0","0","0","0","0","3839","0","0","0","-310","0","0","0","286","286","0","0","0","0","0","0","2"
"11619","102","1082","3751","0","0","0","0","0","3751","0","0","0","-310","0","0","0","280","292","0","0","0","0","0","0","489"
"12621","201","1902","2769","0","0","0","0","0","2769","0","0","0","-310","0","0","0","373","294","0","0","0","0","0","0","463"
"13621","300","1885","1815","0","0","0","0","0","1815","0","0","0","-310","0","0","0","518","298","0","0","0","0","0","0","996"
"14620","400","185","1837","0","0","0","0","0","1837","0","0","0","-310","0","0","0","632","303","0","0","0","0","0","0","1357"
"15622","498","192","2073","0","0","0","0","0","2073","0","0","0","-310","0","0","0","705","313","0","0","0","0","0","0","965"
"16622","599","98","2055","0","0","0","0","0","2055","0","0","0","-310","0","0","0","726","321","0","0","0","0","0","0","1306"
"17619","697","1527","1787","0","0","0","0","0","1787","0","0","0","-310","0","0","0","726","328","0","0","0","0","0","0","1379"
"18622","795","171","1913","0","0","0","0","0","1913","0","0","0","-310","0","0","0","724","334","0","0","0","0","0","0","1391"
"19619","895","969","1643","0","0","0","0","0","1643","0","0","0","-310","0","0","0","728","346","0","0","0","0","0","0","1598"
"20622","954","1398","2053","0","0","0","0","0","2053","0","0","0","-310","0","0","0","750","357","0","0","0","0","0","0","1363"
"21621","955","2356","1446","0","0","0","0","0","1446","0","0","0","-310","0","0","0","779","369","0","0","0","0","0","0","969"
"22620","955","55","1629","0","0","0","0","0","1629","0","0","0","-310","0","0","0","807","378","0","0","0","0","0","0","879"
"23619","955","1667","1808","0","0","0","0","0","1808","0","0","0","-310","0","0","0","828","386","0","0","0","0","0","0","854"
"24622","955","26","1897","0","0","0","0","0","1897","0","0","0","-310","0","0","0","843","405","0","0","0","0","0","0","844"
"25621","955","24","2733","0","0","0","0","0","2733","0","0","0","-310","0","0","0","858","413","0","0","0","0","0","0","841"
"26619","955","1436","2717","0","0","0","0","0","2717","0","0","0","-310","0","0","0","866","420","0","0","0","0","0","0","839"
"27620","955","46","2605","0","0","0","0","0","2605","0","0","0","-310","0","0","0","871","426","0","0","0","0","0","0","834"
"28621","955","1183","2474","0","0","0","0","0","2474","0","0","0","-310","0","0","0","879","433","0","0","0","0","0","0","825"
"29619","955","1137","2659","0","0","0","0","0","2659","0","0","0","-310","0","0","0","884","441","0","0","0","0","0","0","798"
"30622","955","289","2638","0","0","0","0","0","2638","0","0","0","-310","0","0","0","892","452","0","0","0","0","0","0","781"
"31622","955","1931","1465","0","0","0","0","0","1465","0","0","0","-310","0","0","0","898","456","0","0","0","0","0","0","768"
"32620","955","207","1264","0","0","0","0","0","1264","0","0","0","-310","0","0","0","911","464","0","0","0","0","0","0","741"
"33619","955","155","1496","0","0","0","0","0","1496","0","0","0","-310","0","0","0","916","475","0","0","0","0","0","0","718"
"34620","955","1640","1618","0","0","0","0","0","1618","0","0","0","-310","0","0","0","922","479","0","0","0","0","0","0","701"
"35622","955","450","1692","0","0","0","0","0","1692","0","0","0","-310","0","0","0","920","492","0","0","0","0","0","0","692"
"36622","955","51","1766","0","0","0","0","0","1766","0","0","0","-310","0","0","0","926","496","0","0","0","0","0","0","685"
"37622","955","1551","1834","0","0","0","0","0","1834","0","0","0","-310","0","0","0","928","509","0","0","0","0","0","0","680"
"38622","955","117","1980","0","0","0","0","0","1980","0","0","0","-310","0","0","0","932","515","0","0","0","0","0","0","675"
"39620","955","2483","2994","0","0","0","0","0","2994","0","0","0","-310","0","0","0","933","524","0","0","0","0","0","0","669"
"40622","955","143","3084","0","0","0","0","0","3084","0","0","0","-310","0","0","0","939","528","0","0","0","0","0","0","656"
"41621","955","305","3089","0","0","0","0","0","3089","0","0","0","-310","0","0","0","947","533","0","0","0","0","0","0","644"
"42621","955","1766","3069","0","0","0","0","0","3069","0","0","0","-310","0","0","0","962","545","0","0","0","0","0","0","629"
"43619","955","1754","3036","0","0","0","0","0","3036","0","0","0","-310","0","0","0","979","547","0","0","0","0","0","0","620"
"44621","955","295","1609","0","0","0","0","0","1609","0","0","0","-310","0","0","0","992","556","0","0","0","0","0","0","613"
"45622","955","167","1429","0","0","0","0","0","1429","0","0","0","-310","0","0","0","1005","562","0","0","0","0","0","0","610"
"46621","955","53","1688","0","0","0","0","0","1688","0","0","0","-310","0","0","0","1017","569","0","0","0","0","0","0","590"
"47619","955","239","1914","0","0","0","0","0","1914","0","0","0","-310","0","0","0","1032","579","0","0","0","0","0","0","577"
"48621","955","1744","1951","0","0","0","0","0","1951","0","0","0","-310","0","0","0","1038","588","0","0","0","0","0","0","568"
"49621","955","55","2055","0","0","0","0","0","2055","0","0","0","-310","0","0","0","1045","592","0","0","0","0","0","0","563"
"50622","955","312","2147","0","0","0","0","0","2147","0","0","0","-310","0","0","0","1049","603","0","0","0","0","0","0","557"
"51619","955","161","2198","0","0","0","0","0","2198","0","0","0","-310","0","0","0","1059","607","0","0","0","0","0","0","552"
"52622","955","205","2234","0","0","0","0","0","2234","0","0","0","-310","0","0","0","1070","616","0","0","0","0","0","0","546"
"53620","955","1094","2366","0","0","0","0","0","2366","0","0","0","-310","0","0","0","1076","620","0","0","0","0","0","0","540"
"54622","955","1520","2825","0","0","0","0","0","2825","0","0","0","-310","0","0","0","1087","624","0","0","0","0","0","0","534"
"55622","955","1352","3158","0","0","0","0","0","3158","0","0","0","-310","0","0","0","1095","633","0","0","0","0","0","0","523"
"56619","955","1375","3187","0","0","0","0","0","3187","0","0","0","-310","0","0","0","1114","641","0","0","0","0","0","0","514"
"57621","955","82","3204","0","0","0","0","0","3204","0","0","0","-310","0","0","0","1129","641","0","0","0","0","0","0","506"
"58619","955","1649","3208","0","0","0","0","0","3208","0","0","0","-310","0","0","0","1146","645","0","0","0","0","0","0","500"
"59621","955","1671","3210","0","0","0","0","0","3210","0","0","0","-310","0","0","0","1156","650","0","0","0","0","0","0","495"
"60619","955","2212","3210","0","0","0","0","0","3210","0","0","0","-310","0","0","0","1171","656","0","0","0","0","0","0","491"
"61620","955","90","3212","0","0","0","0","0","3212","0","0","0","-310","0","0","0","1182","656","0","0","0","0","0","0","486"
"62622","955","1690","3212","0","0","0","0","0","3212","0","0","0","-310","0","0","0","1196","667","0","0","0","0","0","0","483"
"63619","955","299","3215","0","0","0","0","0","3215","0","0","0","-310","0","0","0","1205","671","0","0","0","0","0","0","479"
"64621","955","1799","3218","0","0","0","0","0","3218","0","0","0","-310","0","0","0","1219","673","0","0","0","0","0","0","476"
"65622","955","24","3219","0","0","0","0","0","3219","0","0","0","-310","0","0","0","1232","675","0","0","0","0","0","0","474"
"66620","955","174","3223","0","0","0","0","0","3223","0","0","0","-310","0","0","0","1238","681","0","0","0","0","0","0","471"
"67621","955","1120","3226","0","0","0","0","0","3226","0","0","0","-310","0","0","0","1249","686","0","0","0","0","0","0","468"
"68619","955","570","3232","0","0","0","0","0","3232","0","0","0","-310","0","0","0","1255","690","0","0","0","0","0","0","466"
"69620","955","1381","3236","0","0","0","0","0","3236","0","0","0","-310","0","0","0","1262","696","0","0","0","0","0","0","464"
"70621","955","1888","3240","0","0","0","0","0","3240","0","0","0","-310","0","0","0","1268","698","0","0","0","0","0","0","462"
"71619","955","208","3246","0","0","0","0","0","3246","0","0","0","-310","0","0","0","1274","701","0","0","0","0","0","0","459"
"72620","955","1575","3250","0","0","0","0","0","3250","0","0","0","-310","0","0","0","1281","709","0","0","0","0","0","0","457"
"73621","955","98","3257","0","0","0","0","0","3257","0","0","0","-310","0","0","0","1287","713","0","0","0","0","0","0","455"
"74619","955","1716","3262","0","0","0","0","0","3262","0","0","0","-310","0","0","0","1295","718","0","0","0","0","0","0","454"
"75620","955","1513","3267","0","0","0","0","0","3267","0","0","0","-310","0","0","0","1299","718","0","0","0","0","0","0","453"
"76622","955","76","3271","0","0","0","0","0","3271","0","0","0","-310","0","0","0","1300","724","0","0","0","0","0","0","451"
"77619","955","1592","3279","0","0","0","0","0","3279","0","0","0","-310","0","0","0","1306","726","0","0","0","0","0","0","450"
"78620","955","1505","3286","0","0","0","0","0","3286","0","0","0","-310","0","0","0","1316","733","0","0","0","0","0","0","449"
"79622","955","216","3291","0","0","0","0","0","3291","0","0","0","-310","0","0","0","1318","737","0","0","0","0","0","0","448"
"80619","955","1814","3297","0","0","0","0","0","3297","0","0","0","-310","0","0","0","1318","739","0","0","0","0","0","0","447"
"81620","955","336","3302","0","0","0","0","0","3302","0","0","0","-310","0","0","0","1323","747","0","0","0","0","0","0","445"
"82620","955","1415","3307","0","0","0","0","0","3307","0","0","0","-310","0","0","0","1323","750","0","0","0","0","0","0","444"
"83622","955","691","3312","0","0","0","0","0","3312","0","0","0","-310","0","0","0","1327","750","0","0","0","0","0","0","444"
"84619","955","2234","3317","0","0","0","0","0","3317","0","0","0","-310","0","0","0","1329","756","0","0","0","0","0","0","443"
"85620","955","1031","3321","0","0","0","0","0","3321","0","0","0","-310","0","0","0","1333","762","0","0","0","0","0","0","442"
"86621","955","161","3326","0","0","0","0","0","3326","0","0","0","-310","0","0","0","1335","760","0","0","0","0","0","0","441"
"87622","955","1928","3330","0","0","0","0","0","3330","0","0","0","-310","0","0","0","1337","764","0","0","0","0","0","0","439"
"88619","955","1418","3335","0","0","0","0","0","3335","0","0","0","-310","0","0","0","1331","771","0","0","0","0","0","0","439"
"89620","955","573","3339","0","0","0","0","0","3339","0","0","0","-310","0","0","0","1329","777","0","0","0","0","0","0","438"
"90621","955","28","3343","0","0","0","0","0","3343","0","0","0","-310","0","0","0","1335","777","0","0","0","0","0","0","437"
"91622","955","175","3347","0","0","0","0","0","3347","0","0","0","-310","0","0","0","1331","781","0","0","0","0","0","0","435"
"92619","955","323","3352","0","0","0","0","0","3352","0","0","0","-310","0","0","0","1327","783","0","0","0","0","0","0","433"
"93620","955","970","3356","0","0","0","0","0","3356","0","0","0","-310","0","0","0","1331","786","0","0","0","0","0","0","431"
"94621","955","1844","3359","0","0","0","0","0","3359","0","0","0","-310","0","0","0","1337","790","0","0","0","0","0","0","429"
"95622","955","2248","3361","0","0","0","0","0","3361","0","0","0","-310","0","0","0","1337","790","0","0","0","0","0","0","428"
"96619","955","93","3364","0","0","0","0","0","3364","0","0","0","-310","0","0","0","1339","798","0","0","0","0","0","0","426"
"97620","955","1946","3368","0","0","0","0","0","3368","0","0","0","-310","0","0","0","1344","800","0","0","0","0","0","0","425"
"98622","955","1659","3372","0","0","0","0","0","3372","0","0","0","-310","0","0","0","1342","801","0","0","0","0","0","0","424"
"99621","955","1593","3375","0","0","0","0","0","3375","0","0","0","-310","0","0","0","1346","805","0","0","0","0","0","0","423"
"100619","955","122","3378","0","0","0","0","0","3378","0","0","0","-310","0","0","0","1348","807","0","0","0","0","0","0","422"
"101622","955","593","3380","0","0","0","0","0","3380","0","0","0","-310","0","0","0","1344","813","0","0","0","0","0","0","421"
"102620","955","1566","3382","0","0","0","0","0","3382","0","0","0","-310","0","0","0","1348","816","0","0","0","0","0","0","420"
"103619","955","45","3384","0","0","0","0","0","3384","0","0","0","-310","0","0","0","1348","816","0","0","0","0","0","0","419"
"104620","955","194","3386","0","0","0","0","0","3386","0","0","0","-310","0","0","0","1352","818","0","0","0","0","0","0","419"
"105619","955","61","3388","0","0","0","0","0","3388","0","0","0","-310","0","0","0","1350","826","0","0","0","0","0","0","419"
"106621","955","33","3390","0","0","0","0","0","3390","0","0","0","-310","0","0","0","1354","826","0","0","0","0","0","0","419"
"107622","955","100","3391","0","0","0","0","0","3391","0","0","0","-310","0","0","0","1354","830","0","0","0","0","0","0","418"
"108621","955","1583","3393","0","0","0","0","0","3393","0","0","0","-310","0","0","0","1360","832","0","0","0","0","0","0","419"
"109621","955","589","3393","0","0","0","0","0","3393","0","0","0","-310","0","0","0","1356","835","0","0","0","0","0","0","419"
"110622","955","2126","3395","0","0","0","0","0","3395","0","0","0","-310","0","0","0","1356","837","0","0","0","0","0","0","419"
"111620","955","63","3396","0","0","0","0","0","3396","0","0","0","-310","0","0","0","1354","841","0","0","0","0","0","0","419"
"112621","955","1412","3397","0","0","0","0","0","3397","0","0","0","-310","0","0","0","1360","839","0","0","0","0","0","0","419"
"113622","955","62","3398","0","0","0","0","0","3398","0","0","0","-310","0","0","0","1356","843","0","0","0","0","0","0","418"
"114619","955","551","3399","0","0","0","0","0","3399","0","0","0","-310","0","0","0","1360","847","0","0","0","0","0","0","418"
"115621","955","1387","3399","0","0","0","0","0","3399","0","0","0","-310","0","0","0","1356","849","0","0","0","0","0","0","418"
"116622","955","1916","3400","0","0","0","0","0","3400","0","0","0","-310","0","0","0","1358","850","0","0","0","0","0","0","418"
"117619","955","543","3401","0","0","0","0","0","3401","0","0","0","-310","0","0","0","1360","850","0","0","0","0","0","0","418"
"118620","955","1509","3402","0","0","0","0","0","3402","0","0","0","-310","0","0","0","1361","856","0","0","0","0","0","0","418"
"119621","955","244","3402","0","0","0","0","0","3402","0","0","0","-310","0","0","0","1363","858","0","0","0","0","0","0","418"
"120622","955","1093","3403","0","0","0","0","0","3403","0","0","0","-310","0","0","0","1365","864","0","0","0","0","0","0","418"
"121619","955","34","3403","0","0","0","0","0","3403","0","0","0","-310","0","0","0","1361","866","0","0","0","0","0","0","418"
"122620","955","1467","3404","0","0","0","0","0","3404","0","0","0","-310","0","0","0","1365","869","0","0","0","0","0","0","419"
"123621","955","2293","3404","0","0","0","0","0","3404","0","0","0","-310","0","0","0","1365","869","0","0","0","0","0","0","419"
"124619","955","121","3404","0","0","0","0","0","3404","0","0","0","-310","0","0","0","1365","871","0","0","0","0","0","0","419"
"125620","955","1241","3405","0","0","0","0","0","3405","0","0","0","-310","0","0","0","1367","873","0","0","0","0","0","0","419"
"126621","955","494","3405","0","0","0","0","0","3405","0","0","0","-310","0","0","0","1367","877","0","0","0","0","0","0","419"
"127619","955","1613","3405","0","0","0","0","0","3405","0","0","0","-310","0","0","0","1367","873","0","0","0","0","0","0","420"
"128620","955","1317","3405","0","0","0","0","0","3405","0","0","0","-310","0","0","0","1369","875","0","0","0","0","0","0","420"
"129620","955","391","3405","0","0","0","0","0","3405","0","0","0","-310","0","0","0","1367","881","0","0","0","0","0","0","420"
"130622","955","161","3405","0","0","0","0","0","3405","0","0","0","-310","0","0","0","1369","883","0","0","0","0","0","0","420"
"131622","955","64","3405","0","0","0","0","0","3405","0","0","0","-310","0","0","0","1367","884","0","0","0","0","0","0","421"
"132619","955","2165","3405","0","0","0","0","0","3405","0","0","0","-310","0","0","0","1367","888","0","0","0","0","0","0","421"
"133620","955","1514","3405","0","0","0","0","0","3405","0","0","0","-310","0","0","0","1369","890","0","0","0","0","0","0","421"
"134621","955","25","3404","0","0","0","0","0","3404","0","0","0","-310","0","0","0","1369","892","0","0","0","0","0","0","421"
"135621","955","644","3405","0","0","0","0","0","3405","0","0","0","-310","0","0","0","1369","890","0","0","0","0","0","0","422"
"136622","955","1620","3405","0","0","0","0","0","3405","0","0","0","-310","0","0","0","1371","894","0","0","0","0","0","0","422"
"137619","955","1355","3404","0","0","0","0","0","3404","0","0","0","-310","0","0","0","1369","896","0","0","0","0","0","0","423"
"138620","955","59","3404","0","0","0","0","0","3404","0","0","0","-310","0","0","0","1373","903","0","0","0","0","0","0","423"
"139621","955","1675","3404","0","0","0","0","0","3404","0","0","0","-310","0","0","0","1373","901","0","0","0","0","0","0","423"
