"Testime","NailPostition","Curr","BTV","Power","ChgQ","DchgQ","ChgE","DchgE","AuxV1","AuxV2","AuxV3","AuxV4","NTC1","NTC2","NTC3","NTC4","TJ1","TJ2","TJ3","TJ4","TJ5","TJ6","TJ7","TJ8","Force"
"701","-914","25","4043","0","0","0","0","0","4043","0","0","0","-310","0","0","0","288","290","0","0","0","0","0","0","0"
"1704","-418","918","4043","0","0","0","0","0","4043","0","0","0","-310","0","0","0","284","288","0","0","0","0","0","0","0"
"2703","76","1681","3520","0","0","0","0","0","3520","0","0","0","-310","0","0","0","288","286","0","0","0","0","0","0","76"
"3703","115","65","3415","0","0","0","0","0","3415","0","0","0","-310","0","0","0","309","286","0","0","0","0","0","0","58"
"4702","115","2299","3805","0","0","0","0","0","3805","0","0","0","-310","0","0","0","363","288","0","0","0","0","0","0","59"
"5703","115","253","3819","0","0","0","0","0","3819","0","0","0","-310","0","0","0","403","290","0","0","0","0","0","0","67"
"6701","115","2433","3835","0","0","0","0","0","3835","0","0","0","-310","0","0","0","420","296","0","0","0","0","0","0","68"
"7704","115","680","3840","0","0","0","0","0","3840","0","0","0","-310","0","0","0","428","292","0","0","0","0","0","0","67"
"8701","115","754","3838","0","0","0","0","0","3838","0","0","0","-310","0","0","0","435","292","0","0","0","0","0","0","65"
"9704","115","1235","3835","0","0","0","0","0","3835","0","0","0","-310","0","0","0","435","296","0","0","0","0","0","0","63"
"10701","115","201","3828","0","0","0","0","0","3828","0","0","0","-310","0","0","0","432","296","0","0","0","0","0","0","62"
"11702","115","70","3823","0","0","0","0","0","3823","0","0","0","-310","0","0","0","439","298","0","0","0","0","0","0","60"
"12703","115","1450","3827","0","0","0","0","0","3827","0","0","0","-310","0","0","0","439","301","0","0","0","0","0","0","60"
"13703","115","1270","3822","0","0","0","0","0","3822","0","0","0","-310","0","0","0","441","301","0","0","0","0","0","0","59"
"14701","115","21","3813","0","0","0","0","0","3813","0","0","0","-310","0","0","0","445","300","0","0","0","0","0","0","59"
"15702","115","27","3809","0","0","0","0","0","3809","0","0","0","-310","0","0","0","449","303","0","0","0","0","0","0","56"
"16701","115","1616","3802","0","0","0","0","0","3802","0","0","0","-310","0","0","0","450","303","0","0","0","0","0","0","56"
"17703","115","1395","3797","0","0","0","0","0","3797","0","0","0","-310","0","0","0","447","305","0","0","0","0","0","0","54"
"18702","115","1437","3783","0","0","0","0","0","3783","0","0","0","-310","0","0","0","456","303","0","0","0","0","0","0","53"
"19703","115","63","3744","0","0","0","0","0","3744","0","0","0","-310","0","0","0","466","307","0","0","0","0","0","0","50"
"20702","115","105","3748","0","0","0","0","0","3748","0","0","0","-310","0","0","0","473","309","0","0","0","0","0","0","48"
"21703","115","45","3764","0","0","0","0","0","3764","0","0","0","-310","0","0","0","481","313","0","0","0","0","0","0","45"
"22705","115","1284","3753","0","0","0","0","0","3753","0","0","0","-310","0","0","0","488","311","0","0","0","0","0","0","45"
"23702","115","2446","3714","0","0","0","0","0","3714","0","0","0","-310","0","0","0","492","315","0","0","0","0","0","0","37"
"24702","115","23","3742","0","0","0","0","0","3742","0","0","0","-310","0","0","0","501","313","0","0","0","0","0","0","32"
"25704","115","96","3740","0","0","0","0","0","3740","0","0","0","-310","0","0","0","511","319","0","0","0","0","0","0","35"
"26703","115","379","3744","0","0","0","0","0","3744","0","0","0","-310","0","0","0","511","321","0","0","0","0","0","0","34"
"27701","115","214","3744","0","0","0","0","0","3744","0","0","0","-310","0","0","0","513","319","0","0","0","0","0","0","33"
"28703","115","179","3740","0","0","0","0","0","3740","0","0","0","-310","0","0","0","520","325","0","0","0","0","0","0","33"
"29704","115","1532","3737","0","0","0","0","0","3737","0","0","0","-310","0","0","0","526","323","0","0","0","0","0","0","32"
"30702","115","191","3730","0","0","0","0","0","3730","0","0","0","-310","0","0","0","535","323","0","0","0","0","0","0","31"
"31701","115","1636","3712","0","0","0","0","0","3712","0","0","0","-310","0","0","0","539","328","0","0","0","0","0","0","28"
"32704","115","295","3720","0","0","0","0","0","3720","0","0","0","-310","0","0","0","543","328","0","0","0","0","0","0","27"
"33704","115","1783","3722","0","0","0","0","0","3722","0","0","0","-310","0","0","0","549","328","0","0","0","0","0","0","27"
"34702","115","1122","3729","0","0","0","0","0","3729","0","0","0","-310","0","0","0","550","332","0","0","0","0","0","0","28"
"35701","115","2290","3737","0","0","0","0","0","3737","0","0","0","-310","0","0","0","549","336","0","0","0","0","0","0","28"
"36701","115","30","3737","0","0","0","0","0","3737","0","0","0","-310","0","0","0","552","336","0","0","0","0","0","0","29"
"37704","115","2366","3742","0","0","0","0","0","3742","0","0","0","-310","0","0","0","552","334","0","0","0","0","0","0","30"
"38701","115","1443","3743","0","0","0","0","0","3743","0","0","0","-310","0","0","0","562","340","0","0","0","0","0","0","30"
"39702","115","1471","3747","0","0","0","0","0","3747","0","0","0","-310","0","0","0","564","340","0","0","0","0","0","0","31"
"40704","115","2422","3744","0","0","0","0","0","3744","0","0","0","-310","0","0","0","562","340","0","0","0","0","0","0","32"
"41703","115","568","3747","0","0","0","0","0","3747","0","0","0","-310","0","0","0","566","340","0","0","0","0","0","0","33"
"42702","115","76","3747","0","0","0","0","0","3747","0","0","0","-310","0","0","0","567","344","0","0","0","0","0","0","32"
"43704","115","1219","3751","0","0","0","0","0","3751","0","0","0","-310","0","0","0","573","348","0","0","0","0","0","0","31"
"44702","115","2384","3753","0","0","0","0","0","3753","0","0","0","-310","0","0","0","571","348","0","0","0","0","0","0","31"
"45704","115","77","3741","0","0","0","0","0","3741","0","0","0","-310","0","0","0","573","350","0","0","0","0","0","0","31"
"46704","115","2311","3748","0","0","0","0","0","3748","0","0","0","-310","0","0","0","575","353","0","0","0","0","0","0","30"
"47703","115","2342","3749","0","0","0","0","0","3749","0","0","0","-310","0","0","0","579","353","0","0","0","0","0","0","30"
"48702","115","113","3750","0","0","0","0","0","3750","0","0","0","-310","0","0","0","586","353","0","0","0","0","0","0","35"
"49702","115","36","3751","0","0","0","0","0","3751","0","0","0","-310","0","0","0","588","361","0","0","0","0","0","0","34"
"50703","115","285","3748","0","0","0","0","0","3748","0","0","0","-310","0","0","0","590","359","0","0","0","0","0","0","32"
"51703","115","28","3754","0","0","0","0","0","3754","0","0","0","-310","0","0","0","594","361","0","0","0","0","0","0","31"
"52702","115","388","3756","0","0","0","0","0","3756","0","0","0","-310","0","0","0","598","365","0","0","0","0","0","0","33"
"53701","115","1720","3755","0","0","0","0","0","3755","0","0","0","-310","0","0","0","600","367","0","0","0","0","0","0","32"
"54701","115","941","3757","0","0","0","0","0","3757","0","0","0","-310","0","0","0","601","365","0","0","0","0","0","0","32"
"55701","115","1489","3758","0","0","0","0","0","3758","0","0","0","-310","0","0","0","603","365","0","0","0","0","0","0","32"
