"Testime","NailPostition","Curr","BTV","Power","ChgQ","DchgQ","ChgE","DchgE","AuxV1","AuxV2","AuxV3","AuxV4","NTC1","NTC2","NTC3","NTC4","TJ1","TJ2","TJ3","TJ4","TJ5","TJ6","TJ7","TJ8","Force"
"275","-101","2074","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","298","300","0","0","0","0","0","0"
"1274","-101","130","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","296","301","0","0","0","0","0","1"
"2273","-100","1841","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","296","301","0","0","0","0","0","1"
"3275","-99","210","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","301","301","0","0","0","0","0","0"
"4273","-98","106","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","300","300","301","0","0","0","0","0","0"
"5276","-97","82","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","300","301","0","0","0","0","0","0"
"6274","-96","60","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","298","301","0","0","0","0","0","1"
"7276","-96","201","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","300","301","0","0","0","0","0","0"
"8274","-95","258","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","300","301","0","0","0","0","0","0"
"9275","-94","1038","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","298","301","0","0","0","0","0","0"
"10274","-93","1782","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","305","298","300","0","0","0","0","0","0"
"11276","-92","149","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","300","296","303","0","0","0","0","0","1"
"12274","-91","1472","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","300","305","0","0","0","0","0","0"
"13276","-90","1377","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","300","300","301","0","0","0","0","0","0"
"14274","-89","71","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","307","298","301","0","0","0","0","0","0"
"15273","-88","21","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","298","301","0","0","0","0","0","1"
"16275","-87","1021","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","298","303","0","0","0","0","0","1"
"17274","-86","2311","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","298","303","0","0","0","0","0","0"
"18276","-85","380","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","298","301","0","0","0","0","0","0"
"19274","-84","46","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","300","301","301","0","0","0","0","0","0"
"20276","-83","112","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","296","305","0","0","0","0","0","1"
"21275","-82","193","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","301","301","0","0","0","0","0","0"
"22273","-82","1277","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","298","303","0","0","0","0","0","0"
"23276","-81","22","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","300","303","0","0","0","0","0","0"
"24274","-80","1763","3710","0","0","0","0","0","3710","0","0","0","-310","0","0","0","307","300","303","0","0","0","0","0","0"
"25276","-79","61","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","296","305","0","0","0","0","0","0"
"26275","-78","49","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","298","303","0","0","0","0","0","0"
"27273","-77","558","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","300","303","0","0","0","0","0","0"
"28275","-76","24","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","300","300","0","0","0","0","0","0"
"29273","-75","528","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","305","300","303","0","0","0","0","0","0"
"30276","-74","1127","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","298","305","0","0","0","0","0","0"
"31274","-73","1751","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","300","303","0","0","0","0","0","0"
"32273","-72","23","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","300","303","0","0","0","0","0","0"
"33276","-71","1650","3710","0","0","0","0","0","3710","0","0","0","-310","0","0","0","305","298","301","0","0","0","0","0","0"
"34274","-70","192","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","300","303","0","0","0","0","0","0"
"35276","-69","1311","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","305","298","303","0","0","0","0","0","0"
"36275","-68","194","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","305","298","303","0","0","0","0","0","0"
"37273","-67","947","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","305","298","303","0","0","0","0","0","1"
"38275","-66","1968","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","300","303","0","0","0","0","0","1"
"39274","-65","411","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","301","303","0","0","0","0","0","0"
"40273","-64","51","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","298","303","0","0","0","0","0","1"
"41275","-63","867","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","296","305","0","0","0","0","0","0"
"42274","-62","302","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","301","300","0","0","0","0","0","0"
"43273","-61","41","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","300","305","0","0","0","0","0","0"
"44275","-60","38","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","300","298","305","0","0","0","0","0","0"
"45274","-59","2120","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","309","301","301","0","0","0","0","0","1"
"46276","-58","32","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","300","301","0","0","0","0","0","1"
"47275","-57","50","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","300","301","0","0","0","0","0","0"
"48274","-56","957","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","305","301","301","0","0","0","0","0","1"
"49273","-55","80","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","300","305","0","0","0","0","0","0"
"50276","-54","118","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","305","298","305","0","0","0","0","0","0"
"51274","-53","82","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","300","300","303","0","0","0","0","0","0"
"52273","-52","41","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","305","300","305","0","0","0","0","0","1"
"53275","-51","2187","3710","0","0","0","0","0","3710","0","0","0","-310","0","0","0","307","296","303","0","0","0","0","0","1"
"54274","-50","923","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","303","303","0","0","0","0","0","0"
"55276","-49","429","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","300","300","303","0","0","0","0","0","0"
"56275","-48","20","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","296","301","0","0","0","0","0","0"
"57274","-47","1971","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","301","303","0","0","0","0","0","0"
"58276","-46","2120","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","300","305","0","0","0","0","0","0"
"59275","-45","1413","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","300","301","0","0","0","0","0","0"
"60273","-44","1036","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","300","305","0","0","0","0","0","0"
"61276","-43","58","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","303","303","0","0","0","0","0","0"
"62275","-42","317","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","301","305","0","0","0","0","0","0"
"63274","-41","2208","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","301","301","0","0","0","0","0","0"
"64273","-40","49","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","301","303","0","0","0","0","0","1"
"65276","-39","1176","3710","0","0","0","0","0","3710","0","0","0","-310","0","0","0","303","301","303","0","0","0","0","0","1"
"66275","-38","1057","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","300","305","0","0","0","0","0","1"
"67274","-37","28","3710","0","0","0","0","0","3710","0","0","0","-310","0","0","0","301","300","303","0","0","0","0","0","0"
"68276","-36","655","3710","0","0","0","0","0","3710","0","0","0","-310","0","0","0","303","296","301","0","0","0","0","0","1"
"69274","-35","423","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","300","305","0","0","0","0","0","1"
"70273","-34","37","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","300","301","0","0","0","0","0","0"
"71275","-33","2112","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","301","301","0","0","0","0","0","0"
"72273","-32","2045","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","300","298","301","0","0","0","0","0","0"
"73276","-31","168","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","300","301","0","0","0","0","0","0"
"74274","-30","1024","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","300","300","0","0","0","0","0","0"
"75276","-29","694","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","300","303","0","0","0","0","0","0"
"76275","-28","2386","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","300","303","0","0","0","0","0","1"
"77273","-27","1640","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","298","301","0","0","0","0","0","0"
"78275","-26","2092","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","300","301","0","0","0","0","0","0"
"79273","-25","260","3710","0","0","0","0","0","3710","0","0","0","-310","0","0","0","305","300","301","0","0","0","0","0","0"
"80276","-24","2345","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","305","301","303","0","0","0","0","0","0"
"81274","-23","2326","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","301","300","0","0","0","0","0","0"
"82273","-22","1503","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","301","303","0","0","0","0","0","1"
"83275","-21","2448","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","305","303","305","0","0","0","0","0","1"
"84274","-20","2084","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","300","303","0","0","0","0","0","0"
"85276","-19","1793","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","305","298","301","0","0","0","0","0","0"
"86274","-18","1403","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","300","301","0","0","0","0","0","0"
"87273","-17","490","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","301","305","0","0","0","0","0","1"
"88275","-16","294","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","303","301","0","0","0","0","0","0"
"89274","-15","2539","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","298","303","0","0","0","0","0","1"
"90276","-14","886","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","307","298","301","0","0","0","0","0","0"
"91274","-13","41","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","300","301","0","0","0","0","0","1"
"92276","-12","1456","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","298","301","0","0","0","0","0","0"
"93275","-11","541","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","300","305","0","0","0","0","0","0"
"94274","-10","2256","3710","0","0","0","0","0","3710","0","0","0","-310","0","0","0","300","298","305","0","0","0","0","0","0"
"95276","-9","710","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","305","300","300","0","0","0","0","0","1"
"96275","-8","2222","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","305","298","303","0","0","0","0","0","1"
"97274","-7","29","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","298","307","0","0","0","0","0","1"
"98273","-6","2338","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","301","305","0","0","0","0","0","2"
"99275","-5","53","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","296","301","0","0","0","0","0","4"
"100274","-4","64","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","301","300","0","0","0","0","0","9"
"101276","-3","1575","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","305","300","303","0","0","0","0","0","16"
"102275","-2","2169","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","305","300","301","0","0","0","0","0","23"
"103273","-1","105","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","305","300","303","0","0","0","0","0","32"
"104276","0","2555","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","298","305","0","0","0","0","0","41"
"105275","1","57","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","300","305","0","0","0","0","0","50"
"106273","2","1759","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","309","300","303","0","0","0","0","0","57"
"107276","3","32","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","305","300","301","0","0","0","0","0","63"
"108274","4","25","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","300","305","0","0","0","0","0","67"
"109273","5","931","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","298","301","0","0","0","0","0","72"
"110276","6","77","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","300","303","0","0","0","0","0","76"
"111274","7","2322","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","301","305","0","0","0","0","0","81"
"112273","8","2227","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","296","305","0","0","0","0","0","85"
"113275","9","420","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","305","301","301","0","0","0","0","0","89"
"114274","10","1397","3710","0","0","0","0","0","3710","0","0","0","-310","0","0","0","305","300","303","0","0","0","0","0","93"
"115276","11","2018","3710","0","0","0","0","0","3710","0","0","0","-310","0","0","0","303","300","305","0","0","0","0","0","98"
"116274","12","36","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","305","303","305","0","0","0","0","0","103"
"117273","13","1707","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","305","300","305","0","0","0","0","0","107"
"118276","14","1649","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","301","305","0","0","0","0","0","111"
"119274","15","1001","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","305","300","305","0","0","0","0","0","116"
"120273","16","30","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","301","303","0","0","0","0","0","121"
"121276","17","2201","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","305","298","305","0","0","0","0","0","125"
"122275","18","2491","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","303","305","0","0","0","0","0","130"
"123273","19","20","3710","0","0","0","0","0","3710","0","0","0","-310","0","0","0","305","301","300","0","0","0","0","0","134"
"124276","20","32","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","303","301","307","0","0","0","0","0","139"
"125275","21","229","3710","0","0","0","0","0","3710","0","0","0","-310","0","0","0","301","300","305","0","0","0","0","0","144"
"126274","22","18","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","305","300","305","0","0","0","0","0","148"
"127276","23","332","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","300","305","0","0","0","0","0","153"
"128275","24","111","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","298","303","307","0","0","0","0","0","157"
"129274","25","244","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","305","300","303","0","0","0","0","0","163"
"130276","26","2458","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","300","296","303","0","0","0","0","0","167"
"131275","27","912","3711","0","0","0","0","0","3711","0","0","0","-310","0","0","0","301","296","301","0","0","0","0","0","172"
