"Testime","NailPostition","Curr","BTV","Power","ChgQ","DchgQ","ChgE","DchgE","AuxV1","AuxV2","AuxV3","AuxV4","NTC1","NTC2","NTC3","NTC4","TJ1","TJ2","TJ3","TJ4","TJ5","TJ6","TJ7","TJ8","Force"
"443","-100","1942","3841","0","0","0","0","0","3841","0","0","0","-310","0","0","0","269","269","0","0","0","0","0","0","0"
"1444","-56","558","3841","0","0","0","0","0","3841","0","0","0","-310","0","0","0","267","271","0","0","0","0","0","0","0"
"2444","-7","149","3841","0","0","0","0","0","3841","0","0","0","-310","0","0","0","271","271","0","0","0","0","0","0","0"
"3445","44","24","3841","0","0","0","0","0","3841","0","0","0","-310","0","0","0","271","271","0","0","0","0","0","0","162"
"4444","93","23","3826","0","0","0","0","0","3826","0","0","0","-310","0","0","0","267","275","0","0","0","0","0","0","395"
"5445","143","2235","3095","0","0","0","0","0","3095","0","0","0","-310","0","0","0","278","273","0","0","0","0","0","0","187"
"6442","192","22","2874","0","0","0","0","0","2874","0","0","0","-310","0","0","0","323","271","0","0","0","0","0","0","438"
"7445","242","341","2662","0","0","0","0","0","2662","0","0","0","-310","0","0","0","388","273","0","0","0","0","0","0","628"
"8444","291","1353","2485","0","0","0","0","0","2485","0","0","0","-310","0","0","0","501","276","0","0","0","0","0","0","792"
"9445","342","2226","2217","0","0","0","0","0","2217","0","0","0","-310","0","0","0","633","286","0","0","0","0","0","0","122"
"10443","392","1045","1785","0","0","0","0","0","1785","0","0","0","-310","0","0","0","711","288","0","0","0","0","0","0","684"
"11442","442","815","1797","0","0","0","0","0","1797","0","0","0","-310","0","0","0","732","300","0","0","0","0","0","0","1006"
"12445","493","192","1114","0","0","0","0","0","1114","0","0","0","-310","0","0","0","786","303","0","0","0","0","0","0","1040"
"13443","542","77","1079","0","0","0","0","0","1079","0","0","0","-310","0","0","0","847","313","0","0","0","0","0","0","1057"
"14442","590","38","1008","0","0","0","0","0","1008","0","0","0","-310","0","0","0","881","325","0","0","0","0","0","0","1403"
"15444","640","2420","906","0","0","0","0","0","906","0","0","0","-310","0","0","0","879","336","0","0","0","0","0","0","1872"
"16442","681","204","870","0","0","0","0","0","870","0","0","0","-310","0","0","0","858","351","0","0","0","0","0","0","2567"
"18442","718","1386","829","0","0","0","0","0","829","0","0","0","-310","0","0","0","815","373","0","0","0","0","0","0","3025"
"19445","735","1615","812","0","0","0","0","0","812","0","0","0","-310","0","0","0","800","382","0","0","0","0","0","0","3021"
"20445","682","1688","831","0","0","0","0","0","831","0","0","0","-310","0","0","0","790","388","0","0","0","0","0","0","1129"
"21442","587","70","799","0","0","0","0","0","799","0","0","0","-310","0","0","0","794","403","0","0","0","0","0","0","45"
"22442","500","2042","836","0","0","0","0","0","836","0","0","0","-310","0","0","0","792","409","0","0","0","0","0","0","38"
"24445","499","2429","834","0","0","0","0","0","834","0","0","0","-310","0","0","0","798","433","0","0","0","0","0","0","55"
"25442","499","49","833","0","0","0","0","0","833","0","0","0","-310","0","0","0","803","437","0","0","0","0","0","0","56"
"26445","499","22","832","0","0","0","0","0","832","0","0","0","-310","0","0","0","805","449","0","0","0","0","0","0","57"
"27443","499","928","832","0","0","0","0","0","832","0","0","0","-310","0","0","0","805","456","0","0","0","0","0","0","58"
"28445","499","46","833","0","0","0","0","0","833","0","0","0","-310","0","0","0","809","462","0","0","0","0","0","0","59"
"29443","499","49","835","0","0","0","0","0","835","0","0","0","-310","0","0","0","807","475","0","0","0","0","0","0","59"
"30445","499","232","837","0","0","0","0","0","837","0","0","0","-310","0","0","0","813","475","0","0","0","0","0","0","60"
"31443","499","1634","839","0","0","0","0","0","839","0","0","0","-310","0","0","0","815","486","0","0","0","0","0","0","61"
"32444","499","52","842","0","0","0","0","0","842","0","0","0","-310","0","0","0","818","492","0","0","0","0","0","0","61"
"33442","499","2435","845","0","0","0","0","0","845","0","0","0","-310","0","0","0","826","498","0","0","0","0","0","0","61"
"34442","499","83","849","0","0","0","0","0","849","0","0","0","-310","0","0","0","828","505","0","0","0","0","0","0","62"
"35445","499","424","853","0","0","0","0","0","853","0","0","0","-310","0","0","0","832","515","0","0","0","0","0","0","62"
"36444","499","44","857","0","0","0","0","0","857","0","0","0","-310","0","0","0","839","520","0","0","0","0","0","0","63"
"37442","499","520","861","0","0","0","0","0","861","0","0","0","-310","0","0","0","843","526","0","0","0","0","0","0","62"
"38442","499","65","867","0","0","0","0","0","867","0","0","0","-310","0","0","0","850","532","0","0","0","0","0","0","63"
"39444","499","1633","872","0","0","0","0","0","872","0","0","0","-310","0","0","0","860","541","0","0","0","0","0","0","63"
"40442","499","1644","877","0","0","0","0","0","877","0","0","0","-310","0","0","0","862","547","0","0","0","0","0","0","63"
"41444","499","1018","882","0","0","0","0","0","882","0","0","0","-310","0","0","0","866","554","0","0","0","0","0","0","63"
"42442","499","37","888","0","0","0","0","0","888","0","0","0","-310","0","0","0","873","562","0","0","0","0","0","0","64"
"43444","499","1472","894","0","0","0","0","0","894","0","0","0","-310","0","0","0","881","567","0","0","0","0","0","0","64"
"44442","499","1815","901","0","0","0","0","0","901","0","0","0","-310","0","0","0","892","577","0","0","0","0","0","0","64"
"45443","499","1520","907","0","0","0","0","0","907","0","0","0","-310","0","0","0","900","581","0","0","0","0","0","0","64"
"46445","499","1549","914","0","0","0","0","0","914","0","0","0","-310","0","0","0","905","592","0","0","0","0","0","0","64"
"47442","499","36","921","0","0","0","0","0","921","0","0","0","-310","0","0","0","909","596","0","0","0","0","0","0","65"
"48444","499","2298","929","0","0","0","0","0","929","0","0","0","-310","0","0","0","920","601","0","0","0","0","0","0","65"
"49443","499","35","938","0","0","0","0","0","938","0","0","0","-310","0","0","0","932","607","0","0","0","0","0","0","65"
"50442","499","515","948","0","0","0","0","0","948","0","0","0","-310","0","0","0","943","613","0","0","0","0","0","0","65"
"51445","499","521","959","0","0","0","0","0","959","0","0","0","-310","0","0","0","949","624","0","0","0","0","0","0","66"
"52443","499","1483","970","0","0","0","0","0","970","0","0","0","-310","0","0","0","960","630","0","0","0","0","0","0","66"
"53443","499","827","983","0","0","0","0","0","983","0","0","0","-310","0","0","0","969","641","0","0","0","0","0","0","66"
"54442","499","255","998","0","0","0","0","0","998","0","0","0","-310","0","0","0","981","645","0","0","0","0","0","0","66"
"56445","499","2057","1032","0","0","0","0","0","1032","0","0","0","-310","0","0","0","1003","656","0","0","0","0","0","0","67"
"57443","499","104","1053","0","0","0","0","0","1053","0","0","0","-310","0","0","0","1020","662","0","0","0","0","0","0","68"
"58444","499","78","1075","0","0","0","0","0","1075","0","0","0","-310","0","0","0","1034","675","0","0","0","0","0","0","68"
"59445","499","1950","1098","0","0","0","0","0","1098","0","0","0","-310","0","0","0","1049","683","0","0","0","0","0","0","68"
"60444","516","35","1128","0","0","0","0","0","1128","0","0","0","-310","0","0","0","1064","690","0","0","0","0","0","0","122"
"61444","565","1530","1357","0","0","0","0","0","1357","0","0","0","-310","0","0","0","1089","694","0","0","0","0","0","0","176"
"62445","615","773","1103","0","0","0","0","0","1103","0","0","0","-310","0","0","0","1112","703","0","0","0","0","0","0","537"
"63443","663","375","1116","0","0","0","0","0","1116","0","0","0","-310","0","0","0","1100","709","0","0","0","0","0","0","1125"
"64443","712","1398","1136","0","0","0","0","0","1136","0","0","0","-310","0","0","0","1095","715","0","0","0","0","0","0","1897"
"65443","759","529","1089","0","0","0","0","0","1089","0","0","0","-310","0","0","0","1089","730","0","0","0","0","0","0","2447"
"66445","791","252","1103","0","0","0","0","0","1103","0","0","0","-310","0","0","0","1085","735","0","0","0","0","0","0","2619"
"68443","842","32","1120","0","0","0","0","0","1120","0","0","0","-310","0","0","0","1072","754","0","0","0","0","0","0","3219"
"69443","854","1413","1202","0","0","0","0","0","1202","0","0","0","-310","0","0","0","1085","767","0","0","0","0","0","0","2560"
"70443","843","2053","1252","0","0","0","0","0","1252","0","0","0","-310","0","0","0","1104","783","0","0","0","0","0","0","1870"
"71443","843","97","1312","0","0","0","0","0","1312","0","0","0","-310","0","0","0","1127","792","0","0","0","0","0","0","1861"
"72444","843","2449","1361","0","0","0","0","0","1361","0","0","0","-310","0","0","0","1150","811","0","0","0","0","0","0","1842"
"73445","843","644","1423","0","0","0","0","0","1423","0","0","0","-310","0","0","0","1182","822","0","0","0","0","0","0","1820"
"74444","843","2094","1453","0","0","0","0","0","1453","0","0","0","-310","0","0","0","1213","832","0","0","0","0","0","0","1794"
"75444","843","2462","1499","0","0","0","0","0","1499","0","0","0","-310","0","0","0","1249","843","0","0","0","0","0","0","1765"
"76444","843","457","2435","0","0","0","0","0","2435","0","0","0","-310","0","0","0","1287","852","0","0","0","0","0","0","1731"
"77442","843","94","3027","0","0","0","0","0","3027","0","0","0","-310","0","0","0","1270","866","0","0","0","0","0","0","1669"
"78445","843","36","2946","0","0","0","0","0","2946","0","0","0","-310","0","0","0","1255","871","0","0","0","0","0","0","1547"
"79444","843","229","3123","0","0","0","0","0","3123","0","0","0","-310","0","0","0","1342","877","0","0","0","0","0","0","1418"
"80444","843","1452","3125","0","0","0","0","0","3125","0","0","0","-310","0","0","0","1371","884","0","0","0","0","0","0","1315"
"81445","843","2429","3148","0","0","0","0","0","3148","0","0","0","-310","0","0","0","1407","884","0","0","0","0","0","0","1231"
"82445","843","89","3137","0","0","0","0","0","3137","0","0","0","-310","0","0","0","1434","894","0","0","0","0","0","0","1160"
"83445","843","2286","3150","0","0","0","0","0","3150","0","0","0","-310","0","0","0","1433","894","0","0","0","0","0","0","1100"
"84445","843","182","3116","0","0","0","0","0","3116","0","0","0","-310","0","0","0","1433","892","0","0","0","0","0","0","1053"
"85443","843","194","3059","0","0","0","0","0","3059","0","0","0","-310","0","0","0","1452","894","0","0","0","0","0","0","1010"
"86445","843","1928","2213","0","0","0","0","0","2213","0","0","0","-310","0","0","0","1479","900","0","0","0","0","0","0","915"
"87445","843","2311","1744","0","0","0","0","0","1744","0","0","0","-310","0","0","0","1487","894","0","0","0","0","0","0","723"
"88443","843","24","1961","0","0","0","0","0","1961","0","0","0","-310","0","0","0","1481","898","0","0","0","0","0","0","624"
"89442","843","29","1767","0","0","0","0","0","1767","0","0","0","-310","0","0","0","1483","903","0","0","0","0","0","0","560"
"90444","843","24","1494","0","0","0","0","0","1494","0","0","0","-310","0","0","0","1467","907","0","0","0","0","0","0","491"
"91445","843","1610","2114","0","0","0","0","0","2114","0","0","0","-310","0","0","0","1458","916","0","0","0","0","0","0","451"
"92444","843","107","2259","0","0","0","0","0","2259","0","0","0","-310","0","0","0","1467","920","0","0","0","0","0","0","424"
"93445","843","23","2302","0","0","0","0","0","2302","0","0","0","-310","0","0","0","1477","928","0","0","0","0","0","0","409"
"94444","843","23","2397","0","0","0","0","0","2397","0","0","0","-310","0","0","0","1491","937","0","0","0","0","0","0","398"
"95443","843","1665","2430","0","0","0","0","0","2430","0","0","0","-310","0","0","0","1504","941","0","0","0","0","0","0","390"
"96444","843","542","2464","0","0","0","0","0","2464","0","0","0","-310","0","0","0","1518","952","0","0","0","0","0","0","388"
"97445","843","1870","2490","0","0","0","0","0","2490","0","0","0","-310","0","0","0","1530","958","0","0","0","0","0","0","385"
"98442","843","48","2514","0","0","0","0","0","2514","0","0","0","-310","0","0","0","1543","964","0","0","0","0","0","0","381"
"99443","843","1431","2519","0","0","0","0","0","2519","0","0","0","-310","0","0","0","1557","971","0","0","0","0","0","0","380"
