"Testime","NailPostition","Curr","BTV","Power","ChgQ","DchgQ","ChgE","DchgE","AuxV1","AuxV2","AuxV3","AuxV4","NTC1","NTC2","NTC3","NTC4","TJ1","TJ2","TJ3","TJ4","TJ5","TJ6","TJ7","TJ8","Force"
"792","-1727","1579","3839","0","0","0","0","0","3839","0","0","0","-310","0","0","0","288","290","0","0","0","0","0","0","1"
"1792","-730","130","3839","0","0","0","0","0","3839","0","0","0","-310","0","0","0","292","292","0","0","0","0","0","0","1"
"2793","145","63","2787","0","0","0","0","0","2787","0","0","0","-310","0","0","0","294","290","0","0","0","0","0","0","285"
"3791","146","30","3055","0","0","0","0","0","3055","0","0","0","-310","0","0","0","311","298","0","0","0","0","0","0","94"
"4791","146","1105","3095","0","0","0","0","0","3095","0","0","0","-310","0","0","0","365","298","0","0","0","0","0","0","127"
"5793","146","45","3054","0","0","0","0","0","3054","0","0","0","-310","0","0","0","407","300","0","0","0","0","0","0","110"
"6791","146","1521","3034","0","0","0","0","0","3034","0","0","0","-310","0","0","0","433","300","0","0","0","0","0","0","114"
"7792","146","2455","3044","0","0","0","0","0","3044","0","0","0","-310","0","0","0","449","301","0","0","0","0","0","0","122"
"8791","146","2339","3518","0","0","0","0","0","3518","0","0","0","-310","0","0","0","460","301","0","0","0","0","0","0","122"
"9793","146","2284","3634","0","0","0","0","0","3634","0","0","0","-310","0","0","0","469","305","0","0","0","0","0","0","120"
"10793","146","200","3668","0","0","0","0","0","3668","0","0","0","-310","0","0","0","479","305","0","0","0","0","0","0","102"
"11791","146","221","3686","0","0","0","0","0","3686","0","0","0","-310","0","0","0","484","307","0","0","0","0","0","0","89"
"12793","146","1104","3700","0","0","0","0","0","3700","0","0","0","-310","0","0","0","483","311","0","0","0","0","0","0","79"
"13794","146","1690","3714","0","0","0","0","0","3714","0","0","0","-310","0","0","0","484","313","0","0","0","0","0","0","73"
"14794","146","2541","3719","0","0","0","0","0","3719","0","0","0","-310","0","0","0","484","315","0","0","0","0","0","0","68"
"15794","146","52","3724","0","0","0","0","0","3724","0","0","0","-310","0","0","0","479","319","0","0","0","0","0","0","63"
"16794","146","30","3727","0","0","0","0","0","3727","0","0","0","-310","0","0","0","475","323","0","0","0","0","0","0","60"
"17794","146","239","3730","0","0","0","0","0","3730","0","0","0","-310","0","0","0","469","319","0","0","0","0","0","0","58"
"18794","146","1568","3732","0","0","0","0","0","3732","0","0","0","-310","0","0","0","460","323","0","0","0","0","0","0","57"
"19794","146","1978","3734","0","0","0","0","0","3734","0","0","0","-310","0","0","0","458","325","0","0","0","0","0","0","55"
"20793","146","2324","3735","0","0","0","0","0","3735","0","0","0","-310","0","0","0","454","326","0","0","0","0","0","0","54"
"21792","146","2447","3736","0","0","0","0","0","3736","0","0","0","-310","0","0","0","456","325","0","0","0","0","0","0","53"
"22793","146","429","3738","0","0","0","0","0","3738","0","0","0","-310","0","0","0","454","328","0","0","0","0","0","0","52"
"23792","146","26","3739","0","0","0","0","0","3739","0","0","0","-310","0","0","0","450","328","0","0","0","0","0","0","51"
"24791","146","1329","3740","0","0","0","0","0","3740","0","0","0","-310","0","0","0","445","328","0","0","0","0","0","0","51"
"25791","146","113","3741","0","0","0","0","0","3741","0","0","0","-310","0","0","0","449","330","0","0","0","0","0","0","50"
"26791","146","262","3741","0","0","0","0","0","3741","0","0","0","-310","0","0","0","443","330","0","0","0","0","0","0","50"
"27794","146","22","3742","0","0","0","0","0","3742","0","0","0","-310","0","0","0","439","334","0","0","0","0","0","0","50"
"28794","146","1680","3743","0","0","0","0","0","3743","0","0","0","-310","0","0","0","435","334","0","0","0","0","0","0","49"
"29794","146","278","3743","0","0","0","0","0","3743","0","0","0","-310","0","0","0","437","332","0","0","0","0","0","0","48"
"30794","146","22","3744","0","0","0","0","0","3744","0","0","0","-310","0","0","0","435","330","0","0","0","0","0","0","48"
"31793","146","2159","3744","0","0","0","0","0","3744","0","0","0","-310","0","0","0","430","332","0","0","0","0","0","0","47"
"32793","146","29","3744","0","0","0","0","0","3744","0","0","0","-310","0","0","0","430","338","0","0","0","0","0","0","47"
"33792","146","35","3745","0","0","0","0","0","3745","0","0","0","-310","0","0","0","432","334","0","0","0","0","0","0","47"
"34792","146","377","3745","0","0","0","0","0","3745","0","0","0","-310","0","0","0","428","338","0","0","0","0","0","0","47"
"35792","146","32","3746","0","0","0","0","0","3746","0","0","0","-310","0","0","0","428","338","0","0","0","0","0","0","47"
"36792","146","1098","3746","0","0","0","0","0","3746","0","0","0","-310","0","0","0","426","342","0","0","0","0","0","0","47"
"37792","146","36","3746","0","0","0","0","0","3746","0","0","0","-310","0","0","0","428","338","0","0","0","0","0","0","46"
"38792","146","2290","3747","0","0","0","0","0","3747","0","0","0","-310","0","0","0","426","342","0","0","0","0","0","0","47"
"39792","146","89","3747","0","0","0","0","0","3747","0","0","0","-310","0","0","0","422","340","0","0","0","0","0","0","47"
"40792","146","129","3747","0","0","0","0","0","3747","0","0","0","-310","0","0","0","422","340","0","0","0","0","0","0","47"
"41792","146","591","3748","0","0","0","0","0","3748","0","0","0","-310","0","0","0","422","340","0","0","0","0","0","0","46"
"42791","146","1163","3748","0","0","0","0","0","3748","0","0","0","-310","0","0","0","422","340","0","0","0","0","0","0","47"
"43792","146","946","3748","0","0","0","0","0","3748","0","0","0","-310","0","0","0","422","342","0","0","0","0","0","0","46"
"44791","146","1587","3749","0","0","0","0","0","3749","0","0","0","-310","0","0","0","422","344","0","0","0","0","0","0","46"
"45791","146","1987","3749","0","0","0","0","0","3749","0","0","0","-310","0","0","0","422","344","0","0","0","0","0","0","46"
"46794","146","255","3749","0","0","0","0","0","3749","0","0","0","-310","0","0","0","418","344","0","0","0","0","0","0","46"
"47794","146","1645","3749","0","0","0","0","0","3749","0","0","0","-310","0","0","0","424","346","0","0","0","0","0","0","46"
"48793","146","1724","3750","0","0","0","0","0","3750","0","0","0","-310","0","0","0","422","344","0","0","0","0","0","0","46"
"49793","146","1607","3750","0","0","0","0","0","3750","0","0","0","-310","0","0","0","420","342","0","0","0","0","0","0","45"
"50792","146","264","3750","0","0","0","0","0","3750","0","0","0","-310","0","0","0","422","344","0","0","0","0","0","0","46"
"51792","146","376","3750","0","0","0","0","0","3750","0","0","0","-310","0","0","0","420","346","0","0","0","0","0","0","45"
"52792","146","393","3751","0","0","0","0","0","3751","0","0","0","-310","0","0","0","418","344","0","0","0","0","0","0","45"
"53791","146","43","3751","0","0","0","0","0","3751","0","0","0","-310","0","0","0","416","348","0","0","0","0","0","0","45"
"54794","146","1436","3751","0","0","0","0","0","3751","0","0","0","-310","0","0","0","420","346","0","0","0","0","0","0","45"
"55791","146","81","3751","0","0","0","0","0","3751","0","0","0","-310","0","0","0","420","344","0","0","0","0","0","0","46"
"56791","146","2227","3752","0","0","0","0","0","3752","0","0","0","-310","0","0","0","420","348","0","0","0","0","0","0","45"
