"Testime","NailPostition","Curr","BTV","Power","ChgQ","DchgQ","ChgE","DchgE","AuxV1","AuxV2","AuxV3","AuxV4","NTC1","NTC2","NTC3","NTC4","TJ1","TJ2","TJ3","TJ4","TJ5","TJ6","TJ7","TJ8","Force"
"316","-101","1549","3707","0","0","0","0","0","3707","0","0","0","-310","0","0","0","317","319","0","0","0","0","0","0","0"
"1316","-100","1796","3707","0","0","0","0","0","3707","0","0","0","-310","0","0","0","319","321","0","0","0","0","0","0","0"
"2316","-100","78","3707","0","0","0","0","0","3707","0","0","0","-310","0","0","0","317","317","0","0","0","0","0","0","0"
"3316","-99","634","3706","0","0","0","0","0","3706","0","0","0","-310","0","0","0","317","319","0","0","0","0","0","0","0"
"4316","-98","2009","3706","0","0","0","0","0","3706","0","0","0","-310","0","0","0","317","319","0","0","0","0","0","0","0"
"5316","-97","28","3706","0","0","0","0","0","3706","0","0","0","-310","0","0","0","315","319","0","0","0","0","0","0","0"
"6316","-95","181","3706","0","0","0","0","0","3706","0","0","0","-310","0","0","0","317","321","0","0","0","0","0","0","0"
"7316","-94","84","3707","0","0","0","0","0","3707","0","0","0","-310","0","0","0","319","321","0","0","0","0","0","0","0"
"8316","-93","166","3706","0","0","0","0","0","3706","0","0","0","-310","0","0","0","317","321","0","0","0","0","0","0","0"
"9316","-92","2420","3706","0","0","0","0","0","3706","0","0","0","-310","0","0","0","317","321","0","0","0","0","0","0","0"
"10339","-91","218","3707","0","0","0","0","0","3707","0","0","0","-310","0","0","0","317","321","0","0","0","0","0","0","0"
"11316","-90","1542","3706","0","0","0","0","0","3706","0","0","0","-310","0","0","0","317","321","0","0","0","0","0","0","0"
"12316","-89","2202","3707","0","0","0","0","0","3707","0","0","0","-310","0","0","0","315","319","0","0","0","0","0","0","0"
"13316","-88","88","3706","0","0","0","0","0","3706","0","0","0","-310","0","0","0","317","321","0","0","0","0","0","0","0"
"14316","-87","391","3706","0","0","0","0","0","3706","0","0","0","-310","0","0","0","319","323","0","0","0","0","0","0","0"
"15316","-86","43","3706","0","0","0","0","0","3706","0","0","0","-310","0","0","0","317","317","0","0","0","0","0","0","0"
"16316","-86","1776","3707","0","0","0","0","0","3707","0","0","0","-310","0","0","0","315","321","0","0","0","0","0","0","0"
"17316","-85","1665","3707","0","0","0","0","0","3707","0","0","0","-310","0","0","0","315","319","0","0","0","0","0","0","0"
"18316","-83","19","3706","0","0","0","0","0","3706","0","0","0","-310","0","0","0","317","319","0","0","0","0","0","0","0"
"19316","-83","1028","3706","0","0","0","0","0","3706","0","0","0","-310","0","0","0","317","317","0","0","0","0","0","0","0"
"20316","-81","1375","3706","0","0","0","0","0","3706","0","0","0","-310","0","0","0","319","321","0","0","0","0","0","0","0"
"21316","-80","1906","3707","0","0","0","0","0","3707","0","0","0","-310","0","0","0","319","317","0","0","0","0","0","0","0"
"22316","-79","345","3706","0","0","0","0","0","3706","0","0","0","-310","0","0","0","319","323","0","0","0","0","0","0","0"
"23316","-79","432","3706","0","0","0","0","0","3706","0","0","0","-310","0","0","0","315","321","0","0","0","0","0","0","0"
"24316","-77","1755","3706","0","0","0","0","0","3706","0","0","0","-310","0","0","0","319","321","0","0","0","0","0","0","0"
"25316","-77","137","3706","0","0","0","0","0","3706","0","0","0","-310","0","0","0","321","317","0","0","0","0","0","0","0"
"26316","-75","1774","3707","0","0","0","0","0","3707","0","0","0","-310","0","0","0","317","323","0","0","0","0","0","0","0"
"28316","-73","964","3707","0","0","0","0","0","3707","0","0","0","-310","0","0","0","315","319","0","0","0","0","0","0","0"
"29316","-73","245","3706","0","0","0","0","0","3706","0","0","0","-310","0","0","0","319","321","0","0","0","0","0","0","0"
"30316","-71","901","3706","0","0","0","0","0","3706","0","0","0","-310","0","0","0","317","321","0","0","0","0","0","0","0"
"31316","-70","30","3706","0","0","0","0","0","3706","0","0","0","-310","0","0","0","315","321","0","0","0","0","0","0","0"
"32316","-69","122","3706","0","0","0","0","0","3706","0","0","0","-310","0","0","0","315","319","0","0","0","0","0","0","0"
"33316","-68","18","3706","0","0","0","0","0","3706","0","0","0","-310","0","0","0","317","319","0","0","0","0","0","0","0"
"34316","-67","131","3706","0","0","0","0","0","3706","0","0","0","-310","0","0","0","311","321","0","0","0","0","0","0","0"
"35316","-66","1677","3706","0","0","0","0","0","3706","0","0","0","-310","0","0","0","315","321","0","0","0","0","0","0","0"
"36339","-65","2519","3706","0","0","0","0","0","3706","0","0","0","-310","0","0","0","317","319","0","0","0","0","0","0","0"
"37316","-64","1642","3706","0","0","0","0","0","3706","0","0","0","-310","0","0","0","313","317","0","0","0","0","0","0","0"
"38316","-63","271","3706","0","0","0","0","0","3706","0","0","0","-310","0","0","0","317","321","0","0","0","0","0","0","0"
"39316","-62","295","3706","0","0","0","0","0","3706","0","0","0","-310","0","0","0","315","321","0","0","0","0","0","0","0"
"40316","-61","32","3706","0","0","0","0","0","3706","0","0","0","-310","0","0","0","317","317","0","0","0","0","0","0","0"
