Testime,NailPostition,Curr,BTV,Power,ChgQ,DchgQ,ChgE,DchgE,AuxV1,AuxV2,AuxV3,AuxV4,NTC1,NTC2,NTC3,NTC4,TJ1,TJ2,TJ3,TJ4,TJ5,TJ6,TJ7,TJ8,Force,SOC
1450749,+AC0-200,1295,3960,0,0,0,0,0,3960,0,0,0,+AC0-310,0,0,0,288,288,0,0,0,0,0,0,0,65
966,+AC0-161,22,3960,0,0,0,0,0,3960,0,0,0,+AC0-310,0,0,0,288,286,0,0,0,0,0,0,0,
1967,+AC0-63,1461,3960,0,0,0,0,0,3960,0,0,0,+AC0-310,0,0,0,292,288,0,0,0,0,0,0,0,
2967,39,66,3960,0,0,0,0,0,3960,0,0,0,+AC0-310,0,0,0,290,290,0,0,0,0,0,0,114,
3965,138,286,3120,0,0,0,0,0,3120,0,0,0,+AC0-310,0,0,0,294,286,0,0,0,0,0,0,121,
4967,237,112,2431,0,0,0,0,0,2431,0,0,0,+AC0-310,0,0,0,373,296,0,0,0,0,0,0,505,
5965,336,441,1926,0,0,0,0,0,1926,0,0,0,+AC0-310,0,0,0,477,294,0,0,0,0,0,0,940,
6967,437,48,1435,0,0,0,0,0,1435,0,0,0,+AC0-310,0,0,0,554,300,0,0,0,0,0,0,1145,
7964,535,501,1525,0,0,0,0,0,1525,0,0,0,+AC0-310,0,0,0,577,301,0,0,0,0,0,0,758,
8965,635,28,1437,0,0,0,0,0,1437,0,0,0,+AC0-310,0,0,0,592,307,0,0,0,0,0,0,1136,
9967,733,409,250,0,0,0,0,0,250,0,0,0,+AC0-310,0,0,0,635,323,0,0,0,0,0,0,1525,
10964,832,1598,197,0,0,0,0,0,197,0,0,0,+AC0-310,0,0,0,683,338,0,0,0,0,0,0,1942,
11965,927,27,170,0,0,0,0,0,170,0,0,0,+AC0-310,0,0,0,700,351,0,0,0,0,0,0,2411,
12966,952,616,164,0,0,0,0,0,164,0,0,0,+AC0-310,0,0,0,707,367,0,0,0,0,0,0,2152,
13967,953,35,162,0,0,0,0,0,162,0,0,0,+AC0-310,0,0,0,713,382,0,0,0,0,0,0,2022,
14967,953,2273,161,0,0,0,0,0,161,0,0,0,+AC0-310,0,0,0,711,396,0,0,0,0,0,0,1983,
15966,953,42,160,0,0,0,0,0,160,0,0,0,+AC0-310,0,0,0,709,413,0,0,0,0,0,0,1962,
16967,954,227,160,0,0,0,0,0,160,0,0,0,+AC0-310,0,0,0,703,424,0,0,0,0,0,0,1946,
17964,954,44,161,0,0,0,0,0,161,0,0,0,+AC0-310,0,0,0,701,439,0,0,0,0,0,0,1930,
18964,954,341,161,0,0,0,0,0,161,0,0,0,+AC0-310,0,0,0,696,450,0,0,0,0,0,0,1918,
19966,954,603,163,0,0,0,0,0,163,0,0,0,+AC0-310,0,0,0,696,467,0,0,0,0,0,0,1907,
20964,954,175,164,0,0,0,0,0,164,0,0,0,+AC0-310,0,0,0,698,477,0,0,0,0,0,0,1898,
21965,954,87,165,0,0,0,0,0,165,0,0,0,+AC0-310,0,0,0,698,486,0,0,0,0,0,0,1890,
22965,954,23,167,0,0,0,0,0,167,0,0,0,+AC0-310,0,0,0,701,498,0,0,0,0,0,0,1883,
23967,954,1297,169,0,0,0,0,0,169,0,0,0,+AC0-310,0,0,0,698,507,0,0,0,0,0,0,1877,
24964,954,1939,171,0,0,0,0,0,171,0,0,0,+AC0-310,0,0,0,701,518,0,0,0,0,0,0,1871,
25966,954,557,173,0,0,0,0,0,173,0,0,0,+AC0-310,0,0,0,703,530,0,0,0,0,0,0,1867,
26967,954,1558,175,0,0,0,0,0,175,0,0,0,+AC0-310,0,0,0,707,539,0,0,0,0,0,0,1861,
27965,954,1591,178,0,0,0,0,0,178,0,0,0,+AC0-310,0,0,0,709,552,0,0,0,0,0,0,1858,
28966,954,154,182,0,0,0,0,0,182,0,0,0,+AC0-310,0,0,0,716,564,0,0,0,0,0,0,1853,
29967,954,1185,185,0,0,0,0,0,185,0,0,0,+AC0-310,0,0,0,724,573,0,0,0,0,0,0,1848,
30964,954,2439,189,0,0,0,0,0,189,0,0,0,+AC0-310,0,0,0,728,581,0,0,0,0,0,0,1844,
31965,954,1820,193,0,0,0,0,0,193,0,0,0,+AC0-310,0,0,0,733,592,0,0,0,0,0,0,1838,
32967,954,33,198,0,0,0,0,0,198,0,0,0,+AC0-310,0,0,0,739,603,0,0,0,0,0,0,1832,
33965,954,1609,203,0,0,0,0,0,203,0,0,0,+AC0-310,0,0,0,749,615,0,0,0,0,0,0,1825,
34967,954,1072,208,0,0,0,0,0,208,0,0,0,+AC0-310,0,0,0,756,624,0,0,0,0,0,0,1816,
35964,954,947,216,0,0,0,0,0,216,0,0,0,+AC0-310,0,0,0,764,633,0,0,0,0,0,0,1806,
36966,954,153,219,0,0,0,0,0,219,0,0,0,+AC0-310,0,0,0,771,643,0,0,0,0,0,0,1793,
37967,954,1606,217,0,0,0,0,0,217,0,0,0,+AC0-310,0,0,0,779,660,0,0,0,0,0,0,1778,
38967,954,1524,200,0,0,0,0,0,200,0,0,0,+AC0-310,0,0,0,788,667,0,0,0,0,0,0,1768,
39964,954,84,171,0,0,0,0,0,171,0,0,0,+AC0-310,0,0,0,800,679,0,0,0,0,0,0,1749,
40966,954,761,166,0,0,0,0,0,166,0,0,0,+AC0-310,0,0,0,805,698,0,0,0,0,0,0,1732,
41965,954,133,166,0,0,0,0,0,166,0,0,0,+AC0-310,0,0,0,816,703,0,0,0,0,0,0,1716,
42967,954,2215,169,0,0,0,0,0,169,0,0,0,+AC0-310,0,0,0,828,720,0,0,0,0,0,0,1701,
43964,954,1359,169,0,0,0,0,0,169,0,0,0,+AC0-310,0,0,0,833,733,0,0,0,0,0,0,1684,
44965,954,1325,167,0,0,0,0,0,167,0,0,0,+AC0-310,0,0,0,847,745,0,0,0,0,0,0,1667,
45966,954,1842,164,0,0,0,0,0,164,0,0,0,+AC0-310,0,0,0,856,756,0,0,0,0,0,0,1649,
46965,954,2235,160,0,0,0,0,0,160,0,0,0,+AC0-310,0,0,0,871,769,0,0,0,0,0,0,1632,
47966,954,552,154,0,0,0,0,0,154,0,0,0,+AC0-310,0,0,0,884,783,0,0,0,0,0,0,1615,
48967,954,156,151,0,0,0,0,0,151,0,0,0,+AC0-310,0,0,0,892,800,0,0,0,0,0,0,1597,
49966,954,33,148,0,0,0,0,0,148,0,0,0,+AC0-310,0,0,0,907,809,0,0,0,0,0,0,1579,
50965,954,181,141,0,0,0,0,0,141,0,0,0,+AC0-310,0,0,0,918,824,0,0,0,0,0,0,1562,
51964,954,824,134,0,0,0,0,0,134,0,0,0,+AC0-310,0,0,0,932,837,0,0,0,0,0,0,1546,
52965,954,1979,132,0,0,0,0,0,132,0,0,0,+AC0-310,0,0,0,945,850,0,0,0,0,0,0,1530,
53967,954,2027,125,0,0,0,0,0,125,0,0,0,+AC0-310,0,0,0,954,866,0,0,0,0,0,0,1517,
