Testime,NailPostition,Curr,BTV,Power,ChgQ,DchgQ,ChgE,DchgE,AuxV1,AuxV2,AuxV3,AuxV4,NTC1,NTC2,NTC3,NTC4,TJ1,TJ3,TJ2,TJ4,TJ5,TJ6,TJ7,TJ8,Force,SOC
80,+AC0-100,131,4036,0,0,0,0,0,4036,0,0,0,+AC0-310,0,0,0,269,269,269,0,0,0,0,0,1,75
1080,+AC0-96,2457,4036,0,0,0,0,0,4036,0,0,0,+AC0-310,0,0,0,267,265,265,0,0,0,0,0,0,
2081,+AC0-86,963,4036,0,0,0,0,0,4036,0,0,0,+AC0-310,0,0,0,267,267,269,0,0,0,0,0,1,
3078,+AC0-76,572,4036,0,0,0,0,0,4036,0,0,0,+AC0-310,0,0,0,267,263,261,0,0,0,0,0,0,
4079,+AC0-67,1310,4036,0,0,0,0,0,4036,0,0,0,+AC0-310,0,0,0,265,265,263,0,0,0,0,0,1,
5080,+AC0-56,65,4036,0,0,0,0,0,4036,0,0,0,+AC0-310,0,0,0,263,269,265,0,0,0,0,0,1,
6080,+AC0-47,2110,4036,0,0,0,0,0,4036,0,0,0,+AC0-310,0,0,0,267,267,265,0,0,0,0,0,1,
7081,+AC0-37,285,4036,0,0,0,0,0,4036,0,0,0,+AC0-310,0,0,0,265,271,269,0,0,0,0,0,1,
8078,+AC0-27,153,4036,0,0,0,0,0,4036,0,0,0,+AC0-310,0,0,0,267,267,263,0,0,0,0,0,1,
9079,+AC0-17,2152,4036,0,0,0,0,0,4036,0,0,0,+AC0-310,0,0,0,267,267,267,0,0,0,0,0,1,
10080,+AC0-7,66,4036,0,0,0,0,0,4036,0,0,0,+AC0-310,0,0,0,267,271,267,0,0,0,0,0,1,
11081,3,40,4036,0,0,0,0,0,4036,0,0,0,+AC0-310,0,0,0,267,267,267,0,0,0,0,0,41,
12081,13,2405,4036,0,0,0,0,0,4036,0,0,0,+AC0-310,0,0,0,267,267,263,0,0,0,0,0,83,
13078,23,233,2401,0,0,0,0,0,2401,0,0,0,+AC0-310,0,0,0,265,267,273,0,0,0,0,0,89,
14079,33,69,2323,0,0,0,0,0,2323,0,0,0,+AC0-310,0,0,0,269,269,294,0,0,0,0,0,140,
15081,43,100,2282,0,0,0,0,0,2282,0,0,0,+AC0-310,0,0,0,269,267,313,0,0,0,0,0,188,
16079,53,180,2114,0,0,0,0,0,2114,0,0,0,+AC0-310,0,0,0,292,271,700,0,0,0,0,0,14,
17079,63,23,2028,0,0,0,0,0,2028,0,0,0,+AC0-310,0,0,0,338,275,1055,0,0,0,0,0,20,
18079,73,82,1955,0,0,0,0,0,1955,0,0,0,+AC0-310,0,0,0,384,275,1499,0,0,0,0,0,27,
19080,83,806,1879,0,0,0,0,0,1879,0,0,0,+AC0-310,0,0,0,432,276,2127,0,0,0,0,0,24,
20080,93,197,1833,0,0,0,0,0,1833,0,0,0,+AC0-310,0,0,0,481,280,2998,0,0,0,0,0,20,
21079,103,567,1818,0,0,0,0,0,1818,0,0,0,+AC0-310,0,0,0,543,286,3829,0,0,0,0,0,26,
22080,113,724,1682,0,0,0,0,0,1682,0,0,0,+AC0-310,0,0,0,603,292,4689,0,0,0,0,0,31,
