Testime,NailPostition,Curr,BTV,Power,ChgQ,DchgQ,ChgE,DchgE,AuxV1,AuxV2,AuxV3,AuxV4,NTC1,NTC2,NTC3,NTC4,TJ1,TJ2,TJ3,TJ4,TJ5,TJ6,TJ7,TJ8,Force,SOC
172,+AC0-1000,1549,4035,0,0,0,0,0,4035,0,0,0,+AC0-310,0,0,0,271,271,267,0,0,0,0,0,0,75
1172,+AC0-697,205,4035,0,0,0,0,0,4035,0,0,0,+AC0-310,0,0,0,271,269,271,0,0,0,0,0,0,
2171,+AC0-186,1561,4035,0,0,0,0,0,4035,0,0,0,+AC0-310,0,0,0,271,271,265,0,0,0,0,0,0,
3170,307,550,1081,0,0,0,0,0,1081,0,0,0,+AC0-310,0,0,0,292,282,603,0,0,0,0,0,892,
4170,796,1296,166,0,0,0,0,0,166,0,0,0,+AC0-310,0,0,0,357,303,1274,0,0,0,0,0,1841,
5170,962,1680,126,0,0,0,0,0,126,0,0,0,+AC0-310,0,0,0,392,321,1160,0,0,0,0,0,881,
6171,962,1902,125,0,0,0,0,0,125,0,0,0,+AC0-310,0,0,0,413,338,1051,0,0,0,0,0,830,
7173,962,64,116,0,0,0,0,0,116,0,0,0,+AC0-310,0,0,0,433,351,988,0,0,0,0,0,798,
8173,962,2003,118,0,0,0,0,0,118,0,0,0,+AC0-310,0,0,0,449,369,950,0,0,0,0,0,774,
9173,962,27,119,0,0,0,0,0,119,0,0,0,+AC0-310,0,0,0,462,382,918,0,0,0,0,0,754,
10171,962,2077,123,0,0,0,0,0,123,0,0,0,+AC0-310,0,0,0,473,388,896,0,0,0,0,0,738,
11172,962,799,129,0,0,0,0,0,129,0,0,0,+AC0-310,0,0,0,483,405,888,0,0,0,0,0,722,
12171,962,1018,128,0,0,0,0,0,128,0,0,0,+AC0-310,0,0,0,492,415,883,0,0,0,0,0,707,
13171,962,50,128,0,0,0,0,0,128,0,0,0,+AC0-310,0,0,0,501,428,884,0,0,0,0,0,692,
14172,962,23,130,0,0,0,0,0,130,0,0,0,+AC0-310,0,0,0,513,441,892,0,0,0,0,0,678,
15172,962,2128,129,0,0,0,0,0,129,0,0,0,+AC0-310,0,0,0,524,452,901,0,0,0,0,0,666,
16171,962,121,133,0,0,0,0,0,133,0,0,0,+AC0-310,0,0,0,537,466,916,0,0,0,0,0,654,
17171,962,1360,131,0,0,0,0,0,131,0,0,0,+AC0-310,0,0,0,545,473,928,0,0,0,0,0,643,
18170,962,2178,126,0,0,0,0,0,126,0,0,0,+AC0-310,0,0,0,562,488,943,0,0,0,0,0,633,
19170,962,95,130,0,0,0,0,0,130,0,0,0,+AC0-310,0,0,0,567,498,960,0,0,0,0,0,623,
20170,962,62,124,0,0,0,0,0,124,0,0,0,+AC0-310,0,0,0,584,511,981,0,0,0,0,0,615,
21173,962,190,125,0,0,0,0,0,125,0,0,0,+AC0-310,0,0,0,592,520,994,0,0,0,0,0,608,
22172,962,30,142,0,0,0,0,0,142,0,0,0,+AC0-310,0,0,0,605,533,1013,0,0,0,0,0,599,
23173,962,1262,149,0,0,0,0,0,149,0,0,0,+AC0-310,0,0,0,618,541,1030,0,0,0,0,0,593,
24171,962,2408,147,0,0,0,0,0,147,0,0,0,+AC0-310,0,0,0,635,552,1045,0,0,0,0,0,586,
25171,962,726,143,0,0,0,0,0,143,0,0,0,+AC0-310,0,0,0,650,564,1072,0,0,0,0,0,578,
26171,962,1082,144,0,0,0,0,0,144,0,0,0,+AC0-310,0,0,0,664,575,1095,0,0,0,0,0,570,
27171,962,979,147,0,0,0,0,0,147,0,0,0,+AC0-310,0,0,0,683,586,1118,0,0,0,0,0,563,
28172,962,540,150,0,0,0,0,0,150,0,0,0,+AC0-310,0,0,0,698,601,1146,0,0,0,0,0,555,
29172,962,23,149,0,0,0,0,0,149,0,0,0,+AC0-310,0,0,0,715,615,1177,0,0,0,0,0,547,
30172,962,317,148,0,0,0,0,0,148,0,0,0,+AC0-310,0,0,0,732,624,1200,0,0,0,0,0,538,
31173,962,39,155,0,0,0,0,0,155,0,0,0,+AC0-310,0,0,0,743,635,1224,0,0,0,0,0,529,
32171,962,126,150,0,0,0,0,0,150,0,0,0,+AC0-310,0,0,0,760,647,1251,0,0,0,0,0,518,
33171,962,251,154,0,0,0,0,0,154,0,0,0,+AC0-310,0,0,0,769,654,1270,0,0,0,0,0,511,
34172,962,271,153,0,0,0,0,0,153,0,0,0,+AC0-310,0,0,0,786,667,1287,0,0,0,0,0,500,
35171,962,1272,154,0,0,0,0,0,154,0,0,0,+AC0-310,0,0,0,809,677,1289,0,0,0,0,0,488,
36172,962,2344,159,0,0,0,0,0,159,0,0,0,+AC0-310,0,0,0,824,694,1300,0,0,0,0,0,474,
37170,962,438,158,0,0,0,0,0,158,0,0,0,+AC0-310,0,0,0,841,701,1339,0,0,0,0,0,459,
