Testime,NailPostition,Curr,BTV,Power,ChgQ,DchgQ,ChgE,DchgE,AuxV1,AuxV2,AuxV3,AuxV4,NTC1,NTC2,NTC3,NTC4,TJ1,TJ2,TJ3,TJ4,TJ5,TJ6,TJ7,TJ8,Force,SOC
223,+AC0-1000,38,4045,0,0,0,0,0,4045,0,0,0,+AC0-310,0,0,0,275,273,276,0,0,0,0,0,0,75
1223,+AC0-674,42,4045,0,0,0,0,0,4045,0,0,0,+AC0-310,0,0,0,275,275,275,0,0,0,0,0,0,
2225,+AC0-178,1738,4045,0,0,0,0,0,4045,0,0,0,+AC0-310,0,0,0,273,275,278,0,0,0,0,0,0,
3224,329,1619,1868,0,0,0,0,0,1868,0,0,0,+AC0-310,0,0,0,276,276,777,0,0,0,0,0,554,
4224,817,2388,168,0,0,0,0,0,168,0,0,0,+AC0-310,0,0,0,290,282,2338,0,0,0,0,0,2031,
5225,972,182,119,0,0,0,0,0,119,0,0,0,+AC0-310,0,0,0,317,296,1356,0,0,0,0,0,1143,
6222,972,584,109,0,0,0,0,0,109,0,0,0,+AC0-310,0,0,0,353,307,1087,0,0,0,0,0,1094,
7223,972,2400,102,0,0,0,0,0,102,0,0,0,+AC0-310,0,0,0,384,326,966,0,0,0,0,0,1063,
8224,972,141,103,0,0,0,0,0,103,0,0,0,+AC0-310,0,0,0,413,342,920,0,0,0,0,0,1040,
9224,972,1572,109,0,0,0,0,0,109,0,0,0,+AC0-310,0,0,0,437,363,903,0,0,0,0,0,1015,
10224,972,31,109,0,0,0,0,0,109,0,0,0,+AC0-310,0,0,0,462,380,896,0,0,0,0,0,990,
11224,972,238,111,0,0,0,0,0,111,0,0,0,+AC0-310,0,0,0,486,396,900,0,0,0,0,0,969,
12225,972,269,115,0,0,0,0,0,115,0,0,0,+AC0-310,0,0,0,507,420,913,0,0,0,0,0,949,
13222,972,252,122,0,0,0,0,0,122,0,0,0,+AC0-310,0,0,0,522,435,924,0,0,0,0,0,929,
14222,972,56,122,0,0,0,0,0,122,0,0,0,+AC0-310,0,0,0,543,454,943,0,0,0,0,0,910,
15222,973,97,126,0,0,0,0,0,126,0,0,0,+AC0-310,0,0,0,560,471,971,0,0,0,0,0,892,
16222,973,511,131,0,0,0,0,0,131,0,0,0,+AC0-310,0,0,0,579,494,996,0,0,0,0,0,874,
17223,973,83,133,0,0,0,0,0,133,0,0,0,+AC0-310,0,0,0,592,511,1022,0,0,0,0,0,856,
18224,973,650,138,0,0,0,0,0,138,0,0,0,+AC0-310,0,0,0,607,528,1057,0,0,0,0,0,838,
19224,973,288,142,0,0,0,0,0,142,0,0,0,+AC0-310,0,0,0,624,547,1095,0,0,0,0,0,819,
20224,973,532,144,0,0,0,0,0,144,0,0,0,+AC0-310,0,0,0,645,564,1127,0,0,0,0,0,801,
21224,973,941,147,0,0,0,0,0,147,0,0,0,+AC0-310,0,0,0,662,581,1158,0,0,0,0,0,781,
22224,973,548,147,0,0,0,0,0,147,0,0,0,+AC0-310,0,0,0,679,600,1186,0,0,0,0,0,765,
23225,973,2307,162,0,0,0,0,0,162,0,0,0,+AC0-310,0,0,0,700,618,1241,0,0,0,0,0,743,
24222,973,1890,162,0,0,0,0,0,162,0,0,0,+AC0-310,0,0,0,720,635,1281,0,0,0,0,0,724,
25222,973,2344,159,0,0,0,0,0,159,0,0,0,+AC0-310,0,0,0,735,654,1327,0,0,0,0,0,703,
26222,973,1883,159,0,0,0,0,0,159,0,0,0,+AC0-310,0,0,0,758,671,1367,0,0,0,0,0,682,
27223,973,824,162,0,0,0,0,0,162,0,0,0,+AC0-310,0,0,0,779,694,1421,0,0,0,0,0,660,
28224,973,170,157,0,0,0,0,0,157,0,0,0,+AC0-310,0,0,0,800,711,1446,0,0,0,0,0,635,
29222,973,160,166,0,0,0,0,0,166,0,0,0,+AC0-310,0,0,0,824,730,1460,0,0,0,0,0,610,
30225,973,49,192,0,0,0,0,0,192,0,0,0,+AC0-310,0,0,0,847,750,1518,0,0,0,0,0,581,
31223,973,242,191,0,0,0,0,0,191,0,0,0,+AC0-310,0,0,0,871,767,1592,0,0,0,0,0,543,
32222,973,173,189,0,0,0,0,0,189,0,0,0,+AC0-310,0,0,0,894,784,1660,0,0,0,0,0,505,
33223,973,349,193,0,0,0,0,0,193,0,0,0,+AC0-310,0,0,0,924,805,1691,0,0,0,0,0,473,
34224,973,293,181,0,0,0,0,0,181,0,0,0,+AC0-310,0,0,0,943,824,1755,0,0,0,0,0,429,
35224,973,237,185,0,0,0,0,0,185,0,0,0,+AC0-310,0,0,0,973,843,1809,0,0,0,0,0,383,
36223,973,58,169,0,0,0,0,0,169,0,0,0,+AC0-310,0,0,0,1000,860,1850,0,0,0,0,0,348,
37222,973,2408,173,0,0,0,0,0,173,0,0,0,+AC0-310,0,0,0,1024,881,1897,0,0,0,0,0,327,
38223,973,295,168,0,0,0,0,0,168,0,0,0,+AC0-310,0,0,0,1043,901,1907,0,0,0,0,0,307,
39224,973,241,213,0,0,0,0,0,213,0,0,0,+AC0-310,0,0,0,1066,920,1868,0,0,0,0,0,290,
40222,973,2354,211,0,0,0,0,0,211,0,0,0,+AC0-310,0,0,0,1083,935,1862,0,0,0,0,0,272,
41224,973,144,199,0,0,0,0,0,199,0,0,0,+AC0-310,0,0,0,1091,956,1848,0,0,0,0,0,239,
42222,973,1438,197,0,0,0,0,0,197,0,0,0,+AC0-310,0,0,0,1102,973,1794,0,0,0,0,0,216,
