Testime,NailPostition,Curr,BTV,Power,ChgQ,DchgQ,ChgE,DchgE,AuxV1,AuxV2,AuxV3,AuxV4,NTC1,NTC2,NTC3,NTC4,TJ1,TJ2,TJ3,TJ4,TJ5,TJ6,TJ7,TJ8,Force,SOC
919,+AC0-4463,86,4002,0,0,0,0,0,4002,0,0,0,+AC0-310,0,0,0,280,280,0,0,0,0,0,0,0,70
1919,+AC0-3028,941,4002,0,0,0,0,0,4002,0,0,0,+AC0-310,0,0,0,280,278,0,0,0,0,0,0,0,
2919,+AC0-1608,1651,4002,0,0,0,0,0,4002,0,0,0,+AC0-310,0,0,0,275,280,0,0,0,0,0,0,0,
3920,+AC0-183,49,4002,0,0,0,0,0,4002,0,0,0,+AC0-310,0,0,0,278,278,0,0,0,0,0,0,0,
4920,902,79,209,0,0,0,0,0,209,0,0,0,+AC0-310,0,0,0,294,282,0,0,0,0,0,0,2739,
6918,791,40,158,0,0,0,0,0,158,0,0,0,+AC0-310,0,0,0,357,307,0,0,0,0,0,0,69,
7919,693,55,159,0,0,0,0,0,159,0,0,0,+AC0-310,0,0,0,382,321,0,0,0,0,0,0,69,
8917,628,55,146,0,0,0,0,0,146,0,0,0,+AC0-310,0,0,0,400,334,0,0,0,0,0,0,69,
9918,628,898,140,0,0,0,0,0,140,0,0,0,+AC0-310,0,0,0,415,342,0,0,0,0,0,0,69,
10918,628,1330,135,0,0,0,0,0,135,0,0,0,+AC0-310,0,0,0,430,357,0,0,0,0,0,0,69,
11917,628,112,133,0,0,0,0,0,133,0,0,0,+AC0-310,0,0,0,443,373,0,0,0,0,0,0,69,
12917,628,124,137,0,0,0,0,0,137,0,0,0,+AC0-310,0,0,0,449,384,0,0,0,0,0,0,69,
13920,628,762,137,0,0,0,0,0,137,0,0,0,+AC0-310,0,0,0,464,396,0,0,0,0,0,0,69,
14920,628,228,137,0,0,0,0,0,137,0,0,0,+AC0-310,0,0,0,475,407,0,0,0,0,0,0,69,
15920,628,90,138,0,0,0,0,0,138,0,0,0,+AC0-310,0,0,0,483,420,0,0,0,0,0,0,69,
16920,628,30,141,0,0,0,0,0,141,0,0,0,+AC0-310,0,0,0,494,430,0,0,0,0,0,0,69,
17920,628,72,142,0,0,0,0,0,142,0,0,0,+AC0-310,0,0,0,505,437,0,0,0,0,0,0,69,
18917,628,523,144,0,0,0,0,0,144,0,0,0,+AC0-310,0,0,0,518,452,0,0,0,0,0,0,69,
19917,628,614,148,0,0,0,0,0,148,0,0,0,+AC0-310,0,0,0,526,460,0,0,0,0,0,0,69,
20917,628,1948,151,0,0,0,0,0,151,0,0,0,+AC0-310,0,0,0,533,467,0,0,0,0,0,0,69,
21917,628,1985,159,0,0,0,0,0,159,0,0,0,+AC0-310,0,0,0,543,479,0,0,0,0,0,0,69,
22918,628,84,168,0,0,0,0,0,168,0,0,0,+AC0-310,0,0,0,552,496,0,0,0,0,0,0,69,
23920,628,2131,143,0,0,0,0,0,143,0,0,0,+AC0-310,0,0,0,566,500,0,0,0,0,0,0,69,
24917,628,83,146,0,0,0,0,0,146,0,0,0,+AC0-310,0,0,0,577,516,0,0,0,0,0,0,69,
25917,628,87,153,0,0,0,0,0,153,0,0,0,+AC0-310,0,0,0,588,524,0,0,0,0,0,0,69,
26919,628,33,168,0,0,0,0,0,168,0,0,0,+AC0-310,0,0,0,600,539,0,0,0,0,0,0,69,
27920,628,1593,181,0,0,0,0,0,181,0,0,0,+AC0-310,0,0,0,607,549,0,0,0,0,0,0,69,
28918,628,2058,193,0,0,0,0,0,193,0,0,0,+AC0-310,0,0,0,622,558,0,0,0,0,0,0,69,
29917,628,47,211,0,0,0,0,0,211,0,0,0,+AC0-310,0,0,0,632,569,0,0,0,0,0,0,69,
30918,628,148,229,0,0,0,0,0,229,0,0,0,+AC0-310,0,0,0,649,579,0,0,0,0,0,0,69,
31919,628,24,255,0,0,0,0,0,255,0,0,0,+AC0-310,0,0,0,649,588,0,0,0,0,0,0,69,
32917,628,31,272,0,0,0,0,0,272,0,0,0,+AC0-310,0,0,0,658,600,0,0,0,0,0,0,69,
33919,628,22,259,0,0,0,0,0,259,0,0,0,+AC0-310,0,0,0,667,611,0,0,0,0,0,0,69,
34917,628,1707,280,0,0,0,0,0,280,0,0,0,+AC0-310,0,0,0,677,618,0,0,0,0,0,0,69,
35918,628,36,290,0,0,0,0,0,290,0,0,0,+AC0-310,0,0,0,696,630,0,0,0,0,0,0,69,
36920,628,269,279,0,0,0,0,0,279,0,0,0,+AC0-310,0,0,0,707,641,0,0,0,0,0,0,69,
37917,628,279,310,0,0,0,0,0,310,0,0,0,+AC0-310,0,0,0,720,647,0,0,0,0,0,0,69,
38918,628,30,315,0,0,0,0,0,315,0,0,0,+AC0-310,0,0,0,737,658,0,0,0,0,0,0,69,
39920,628,657,290,0,0,0,0,0,290,0,0,0,+AC0-310,0,0,0,754,669,0,0,0,0,0,0,69,
40917,628,2279,314,0,0,0,0,0,314,0,0,0,+AC0-310,0,0,0,764,677,0,0,0,0,0,0,69,
41920,628,2457,295,0,0,0,0,0,295,0,0,0,+AC0-310,0,0,0,775,683,0,0,0,0,0,0,69,
42918,628,851,314,0,0,0,0,0,314,0,0,0,+AC0-310,0,0,0,794,696,0,0,0,0,0,0,69,
43918,628,39,308,0,0,0,0,0,308,0,0,0,+AC0-310,0,0,0,805,705,0,0,0,0,0,0,69,
44920,628,1826,338,0,0,0,0,0,338,0,0,0,+AC0-310,0,0,0,822,716,0,0,0,0,0,0,69,
45919,628,1483,289,0,0,0,0,0,289,0,0,0,+AC0-310,0,0,0,837,726,0,0,0,0,0,0,69,
46920,628,1490,342,0,0,0,0,0,342,0,0,0,+AC0-310,0,0,0,850,737,0,0,0,0,0,0,69,
47917,628,49,277,0,0,0,0,0,277,0,0,0,+AC0-310,0,0,0,860,752,0,0,0,0,0,0,69,
48920,628,108,291,0,0,0,0,0,291,0,0,0,+AC0-310,0,0,0,873,766,0,0,0,0,0,0,69,
49918,628,66,281,0,0,0,0,0,281,0,0,0,+AC0-310,0,0,0,883,769,0,0,0,0,0,0,69,
50917,628,243,267,0,0,0,0,0,267,0,0,0,+AC0-310,0,0,0,898,786,0,0,0,0,0,0,69,
51918,628,2070,245,0,0,0,0,0,245,0,0,0,+AC0-310,0,0,0,901,800,0,0,0,0,0,0,6,
